date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]","[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]","[0.02900393 0.0156173  0.         0.02964466 0.02668922 0.03196902
 0.13481856 0.6934721  0.03878522]","[0.14702164 0.01376299 0.         0.03855478 0.         0.
 0.19777299 0.52628558 0.07660203]","[0.25646324 0.01110106 0.         0.04567809 0.         0.
 0.24502138 0.32909091 0.11264532]","[0.35165497 0.00788209 0.         0.05239662 0.         0.
 0.2872489  0.15989912 0.1409183 ]","[0.43926855 0.005228   0.         0.05876127 0.         0.
 0.32619495 0.00267901 0.16786822]","[0.57489029 0.00942748 0.         0.06565559 0.         0.
 0.17682739 0.         0.17319926]","[0.68963109 0.01560132 0.         0.07118505 0.         0.
 0.03722561 0.         0.18635691]","[0.84121144 0.01663523 0.         0.06542122 0.         0.
 0.         0.         0.07673211]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04547902 0.01452174 0.         0.03104808 0.00288003 0.0234317
 0.14969821 0.6883556  0.04458562]","[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]"
1998-03-31,"[0.         0.01061448 0.         0.02271273 0.12903145 0.06767978
 0.07108329 0.68451436 0.01436392]","[0.         0.01061448 0.         0.02271273 0.12903145 0.06767978
 0.07108329 0.68451436 0.01436392]","[0.03410492 0.01592882 0.         0.03205378 0.02828138 0.03181564
 0.1339103  0.68729297 0.03661218]","[0.14976102 0.01370069 0.         0.04371583 0.         0.
 0.19730447 0.52613123 0.06938676]","[0.25946459 0.00879628 0.         0.05447627 0.         0.
 0.24241919 0.33230165 0.10254203]","[0.35227323 0.00809382 0.         0.06325208 0.         0.
 0.28690546 0.16357303 0.12590237]","[0.44154037 0.00517019 0.         0.07255133 0.         0.
 0.32619802 0.01060387 0.14393622]","[5.73033929e-01 2.41807086e-04 0.00000000e+00 8.17328293e-02
 0.00000000e+00 0.00000000e+00 1.89144318e-01 0.00000000e+00
 1.55847116e-01]","[0.68430094 0.00768784 0.         0.09098027 0.         0.
 0.05420299 0.         0.16282796]","[0.81728328 0.01139414 0.         0.09475303 0.         0.
 0.         0.         0.07656955]","[0.9870052 0.        0.        0.0129948 0.        0.        0.
 0.        0.       ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05414789 0.01514449 0.         0.03441672 0.00790593 0.02339406
 0.14718171 0.6772058  0.0406034 ]","[0.         0.00917856 0.         0.0227255  0.12834602 0.06699838
 0.06706335 0.6924688  0.0132194 ]"
1998-04-30,"[0.         0.01007652 0.         0.02240153 0.13183908 0.06615439
 0.0683203  0.68743535 0.01377284]","[0.         0.01007652 0.         0.02240153 0.13183908 0.06615439
 0.0683203  0.68743535 0.01377284]","[0.044304   0.00945186 0.         0.02796081 0.02818636 0.02975174
 0.13543164 0.69019789 0.0347157 ]","[0.17229114 0.         0.         0.03495161 0.         0.
 0.19840058 0.53046002 0.06389664]","[0.28583983 0.         0.         0.04019616 0.         0.
 0.24194024 0.34334047 0.0886833 ]","[0.3839729  0.         0.         0.04638141 0.         0.
 0.2864469  0.1806675  0.10253128]","[0.47521433 0.         0.         0.04888517 0.         0.
 0.32642661 0.02880702 0.12066687]","[0.59686237 0.         0.         0.0567623  0.         0.
 0.21572642 0.         0.13064891]","[0.71578493 0.         0.         0.06223296 0.         0.
 0.08887268 0.         0.13310943]","[8.36990866e-01 0.00000000e+00 0.00000000e+00 6.59862496e-02
 0.00000000e+00 0.00000000e+00 2.49761047e-04 0.00000000e+00
 9.67731236e-02]","[0.99139566 0.         0.         0.00860434 0.         0.
 0.         0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07283026 0.00429694 0.         0.02877728 0.         0.01629932
 0.15605607 0.6836332  0.03810694]","[0.         0.00898523 0.         0.02272219 0.1290715  0.0670752
 0.06696612 0.69244406 0.0127357 ]"
1998-05-29,"[0.         0.00899603 0.         0.02202789 0.1296203  0.06553029
 0.06653767 0.69204054 0.01524728]","[0.         0.00899603 0.         0.02202789 0.1296203  0.06553029
 0.06653767 0.69204054 0.01524728]","[0.04745646 0.00859844 0.         0.0260942  0.02750983 0.02554322
 0.13541736 0.69980785 0.02957263]","[0.18256499 0.         0.         0.03040708 0.         0.
 0.19777133 0.53885854 0.05039806]","[0.29989714 0.         0.         0.03355417 0.         0.
 0.24155346 0.35674269 0.06825254]","[0.4007718  0.         0.         0.03711165 0.         0.
 0.28651253 0.19690726 0.07869676]","[0.49308476 0.         0.         0.03982308 0.         0.
 0.32643634 0.04692793 0.0937279 ]","[0.61273399 0.         0.         0.04366141 0.         0.
 0.24686761 0.         0.09673699]","[0.73519268 0.         0.         0.04638129 0.         0.
 0.12663648 0.         0.09178955]","[0.84855811 0.         0.         0.04891917 0.         0.
 0.01533251 0.         0.08719021]","[0.9912488 0.        0.        0.0087512 0.        0.        0.
 0.        0.       ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07273736 0.00450894 0.         0.02617906 0.         0.01344416
 0.15160032 0.70156051 0.02996965]","[0.         0.00944763 0.         0.02232405 0.12953156 0.06641377
 0.06695282 0.69220307 0.0131271 ]"
1998-06-30,"[0.         0.01060032 0.         0.02075466 0.12723898 0.06428044
 0.06370058 0.69943389 0.01399114]","[0.         0.01060032 0.         0.02075466 0.12723898 0.06428044
 0.06370058 0.69943389 0.01399114]","[0.04187291 0.00992989 0.         0.02212305 0.01845254 0.02240299
 0.13547371 0.72041145 0.02933345]","[0.18824649 0.         0.         0.0209749  0.         0.
 0.19775016 0.54020431 0.05282414]","[0.30709452 0.         0.         0.01854201 0.         0.
 0.24193645 0.36174695 0.07068007]","[0.40952258 0.         0.         0.01651128 0.         0.
 0.28621021 0.20408683 0.08366909]","[0.50567584 0.         0.         0.01396566 0.         0.
 0.32643642 0.05877811 0.09514397]","[0.62269589 0.         0.         0.01149061 0.         0.
 0.26272863 0.         0.10308487]","[0.74834034 0.         0.         0.00511835 0.         0.
 0.147636   0.         0.09890531]","[0.8640124  0.         0.         0.         0.         0.
 0.03870344 0.         0.09728416]","[0.98813686 0.         0.         0.         0.         0.
 0.         0.         0.01186314]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05972331 0.0097386  0.         0.02149958 0.         0.01048032
 0.14494592 0.72297833 0.03063395]","[0.         0.01028845 0.         0.02190279 0.12924946 0.06612023
 0.06560507 0.69287081 0.01396318]"
1998-07-31,"[0.         0.01049185 0.         0.02181726 0.12599789 0.0628038
 0.06178688 0.70250976 0.01459256]","[0.         0.01049185 0.         0.02181726 0.12599789 0.0628038
 0.06178688 0.70250976 0.01459256]","[0.04757123 0.00982626 0.         0.01838582 0.01716527 0.01823494
 0.13790407 0.72188106 0.02903134]","[0.19942935 0.         0.         0.01105694 0.         0.
 0.19840439 0.54125954 0.04984978]","[0.3196296  0.         0.         0.00429134 0.         0.
 0.24319008 0.36809207 0.0647969 ]","[0.42236172 0.         0.         0.         0.         0.
 0.28616893 0.21264846 0.0788209 ]","[0.51809597 0.         0.         0.         0.         0.
 0.32644652 0.06710496 0.08835255]","[0.63262818 0.         0.         0.         0.         0.
 0.27762768 0.         0.08974414]","[0.75632095 0.         0.         0.         0.         0.
 0.16223511 0.         0.08144394]","[0.87077586 0.         0.         0.         0.         0.
 0.05545364 0.         0.0737705 ]","[0.98967169 0.         0.         0.         0.         0.
 0.         0.         0.01032831]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06654819 0.00706279 0.         0.01692524 0.         0.00782543
 0.15092311 0.7217527  0.02896254]","[0.         0.01053542 0.         0.02263391 0.12920195 0.06512382
 0.0654956  0.69305635 0.01395294]"
1998-08-31,"[0.         0.00747533 0.         0.02247078 0.12350963 0.06098635
 0.06392747 0.70595751 0.01567293]","[0.         0.00747533 0.         0.02247078 0.12350963 0.06098635
 0.06392747 0.70595751 0.01567293]","[0.04771547 0.00359476 0.         0.02061033 0.01230029 0.0162915
 0.13824129 0.73971394 0.02153243]","[0.20497861 0.         0.         0.0144954  0.         0.
 0.20264632 0.54878863 0.02909104]","[0.32925782 0.         0.         0.00922141 0.         0.
 0.24344469 0.38603256 0.03204351]","[0.43544656 0.         0.         0.00512692 0.         0.
 0.28618272 0.23725895 0.03598486]","[5.35403612e-01 0.00000000e+00 0.00000000e+00 2.54921212e-04
 0.00000000e+00 0.00000000e+00 3.26618453e-01 9.98337443e-02
 3.78892698e-02]","[0.64056915 0.         0.         0.         0.         0.
 0.3261254  0.         0.03330545]","[0.76609264 0.         0.         0.         0.         0.
 0.22124074 0.         0.01266662]","[8.81540494e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.18043295e-01 0.00000000e+00
 4.16211419e-04]","[0.98987183 0.         0.         0.         0.         0.
 0.01012817 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06631686 0.         0.         0.02044131 0.         0.00528807
 0.15254092 0.73453229 0.02088055]","[0.         0.0102221  0.         0.0224108  0.12779092 0.06319213
 0.06511011 0.6953908  0.01588315]"
1998-09-30,"[0.         0.00337095 0.         0.02082398 0.12300702 0.06068742
 0.05872123 0.72174454 0.01164487]","[0.         0.00337095 0.         0.02082398 0.12300702 0.06068742
 0.05872123 0.72174454 0.01164487]","[0.02656053 0.         0.         0.01640282 0.00188278 0.01209267
 0.12607357 0.804476   0.01251163]","[0.19737711 0.         0.         0.         0.         0.
 0.17366441 0.6277785  0.00117998]","[0.31474859 0.         0.         0.         0.         0.
 0.1980438  0.48720761 0.        ]","[0.41630214 0.         0.         0.         0.         0.
 0.21919205 0.36450581 0.        ]","[0.51087886 0.         0.         0.         0.         0.
 0.23892659 0.25019455 0.        ]","[0.60155295 0.         0.         0.         0.         0.
 0.2578441  0.14060295 0.        ]","[0.69980191 0.         0.         0.         0.         0.
 0.22483042 0.07536767 0.        ]","[0.79555718 0.         0.         0.         0.         0.
 0.19196643 0.01247638 0.        ]","[0.89828242 0.         0.         0.         0.         0.
 0.10171758 0.         0.        ]","[9.99095489e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.04510572e-04 0.00000000e+00
 0.00000000e+00]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.03740367 0.         0.         0.01507334 0.         0.00249915
 0.12408544 0.80985224 0.01108617]","[0.         0.00421661 0.         0.02140936 0.12766758 0.06277136
 0.06522435 0.70359947 0.01511127]"
1998-10-30,"[0.         0.00135751 0.         0.02004972 0.11700889 0.05167875
 0.0706317  0.73213852 0.00713492]","[0.         0.00135751 0.         0.02004972 0.11700889 0.05167875
 0.0706317  0.73213852 0.00713492]","[0.02670101 0.         0.         0.0160466  0.00383883 0.0100958
 0.12543681 0.80401395 0.01386699]","[0.19673918 0.         0.         0.         0.         0.
 0.16027312 0.62793812 0.01504958]","[0.31358764 0.         0.         0.         0.         0.
 0.18632633 0.48847684 0.01160918]","[0.41628691 0.         0.         0.         0.         0.
 0.20431439 0.37214535 0.00725335]","[0.51052936 0.         0.         0.         0.         0.
 0.21860725 0.26016509 0.0106983 ]","[0.60186609 0.         0.         0.         0.         0.
 0.23859077 0.1538148  0.00572834]","[6.96976197e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.24767721e-01 7.76377459e-02
 6.18336394e-04]","[0.79165502 0.         0.         0.         0.         0.
 0.19212977 0.01426971 0.00194551]","[0.89313367 0.         0.         0.         0.         0.
 0.10686633 0.         0.        ]","[0.99277587 0.         0.         0.         0.         0.
 0.00722413 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.03749583 0.         0.         0.0147412  0.         0.00445361
 0.12371474 0.80339021 0.01620442]","[0.         0.00366762 0.         0.02036257 0.12255771 0.05369474
 0.0666253  0.72106683 0.01202523]"
