date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.         0.         0.01072039 0.11287454 0.08212714
 0.14272417 0.62980649 0.02174727]","[0.         0.         0.         0.01072039 0.11287454 0.08212714
 0.14272417 0.62980649 0.02174727]","[0.02215224 0.         0.         0.02778118 0.         0.05560669
 0.22310263 0.61165309 0.05970416]","[0.14711668 0.         0.         0.02122438 0.         0.02807526
 0.25273089 0.46951322 0.08133958]","[0.2502011  0.         0.         0.01507736 0.         0.00443236
 0.28060752 0.35733037 0.09235128]","[0.35258222 0.         0.         0.01031322 0.         0.
 0.30091822 0.2209748  0.11521154]","[0.45647022 0.         0.         0.0034589  0.         0.
 0.32645695 0.08383514 0.12977879]","[5.72940389e-01 0.00000000e+00 0.00000000e+00 4.98166878e-04
 0.00000000e+00 0.00000000e+00 2.82174420e-01 0.00000000e+00
 1.44387024e-01]","[7.07071927e-01 0.00000000e+00 0.00000000e+00 4.22931715e-04
 0.00000000e+00 0.00000000e+00 1.38346545e-01 0.00000000e+00
 1.54158597e-01]","[8.28753698e-01 0.00000000e+00 0.00000000e+00 5.98668976e-04
 0.00000000e+00 0.00000000e+00 5.49421991e-03 0.00000000e+00
 1.65153413e-01]","[0.99400305 0.         0.         0.         0.         0.
 0.         0.         0.00599695]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.02658352 0.         0.07068352
 0.2061997  0.65113984 0.04539342]","[0.         0.         0.         0.01072039 0.11287454 0.08212714
 0.14272417 0.62980649 0.02174727]"
1998-03-31,"[0.         0.         0.         0.01300414 0.11435078 0.08058935
 0.14295114 0.62971773 0.01938686]","[0.         0.         0.         0.01300414 0.11435078 0.08058935
 0.14295114 0.62971773 0.01938686]","[0.02567059 0.         0.         0.03327587 0.         0.05568923
 0.2230802  0.61489549 0.04738863]","[0.15330689 0.         0.         0.02867569 0.         0.02808448
 0.25256766 0.47330861 0.06405666]","[0.2520124  0.         0.         0.02583092 0.         0.00473731
 0.27930619 0.35910142 0.07901177]","[0.35656148 0.         0.         0.02132846 0.         0.
 0.30095346 0.22584868 0.09530792]","[0.45765253 0.         0.         0.01807837 0.         0.
 0.3263171  0.08934683 0.10860517]","[0.571484   0.         0.         0.01399146 0.         0.
 0.29014105 0.00135791 0.12302558]","[0.70254664 0.         0.         0.01663526 0.         0.
 0.1546435  0.         0.12617459]","[0.8208593  0.         0.         0.01979649 0.         0.
 0.02516471 0.         0.13417951]","[0.97089027 0.         0.         0.01635291 0.         0.
 0.         0.         0.01275682]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.03311689 0.         0.06630411
 0.20523317 0.658009   0.03733682]","[0.         0.         0.         0.01320072 0.11253728 0.08127678
 0.14280445 0.6284584  0.02172237]"
1998-04-30,"[0.         0.         0.         0.01297924 0.1143391  0.08057942
 0.14304235 0.62973542 0.01932447]","[0.         0.         0.         0.01297924 0.1143391  0.08057942
 0.14304235 0.62973542 0.01932447]","[0.03961165 0.         0.         0.02400888 0.         0.0553565
 0.22309476 0.61837731 0.0395509 ]","[0.17546674 0.         0.         0.01247273 0.         0.02704497
 0.25270573 0.48211262 0.05019721]","[0.28329516 0.         0.         0.00399429 0.         0.00458882
 0.27951251 0.37074235 0.05786687]","[0.38842777 0.         0.         0.         0.         0.
 0.30116941 0.2377183  0.07268452]","[0.48952582 0.         0.         0.         0.         0.
 0.3261338  0.10347152 0.08086885]","[0.59430507 0.         0.         0.         0.         0.
 0.30418569 0.00322324 0.098286  ]","[0.73405692 0.         0.         0.         0.         0.
 0.19544115 0.         0.07050192]","[0.84916657 0.         0.         0.         0.         0.
 0.0544942  0.         0.09633923]","[0.98506071 0.         0.         0.         0.         0.
 0.         0.         0.01493929]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.00511031 0.         0.         0.02634428 0.         0.06136689
 0.21336674 0.65981442 0.03399737]","[0.         0.         0.         0.01375118 0.11336211 0.08128574
 0.14321372 0.62790025 0.02048699]"
1998-05-29,"[0.         0.         0.         0.01215357 0.11532508 0.07892305
 0.14194178 0.63318157 0.01847495]","[0.         0.         0.         0.01215357 0.11532508 0.07892305
 0.14194178 0.63318157 0.01847495]","[0.04220489 0.         0.         0.02007673 0.         0.04874757
 0.2230163  0.63784885 0.02810566]","[0.17836428 0.         0.         0.00668257 0.         0.01578265
 0.25357582 0.51456159 0.03103309]","[0.29186628 0.         0.         0.         0.         0.
 0.27910501 0.39216391 0.03686481]","[0.40195953 0.         0.         0.         0.         0.
 0.30116549 0.25453589 0.04233909]","[0.5053504  0.         0.         0.         0.         0.
 0.32615651 0.12341311 0.04507998]","[0.61587662 0.         0.         0.         0.         0.
 0.30814432 0.02949769 0.04648137]","[0.73960231 0.         0.         0.         0.         0.
 0.21347191 0.         0.04692578]","[0.86350103 0.         0.         0.         0.         0.
 0.09610634 0.         0.04039263]","[9.84996147e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00415473e-04 0.00000000e+00
 1.49034374e-02]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.00644165 0.         0.         0.02314013 0.         0.05598467
 0.21457492 0.67574375 0.02411487]","[0.         0.         0.         0.01296869 0.11485551 0.08015382
 0.14297758 0.62903364 0.02001076]"
1998-06-30,"[0.         0.         0.         0.0086191  0.11127168 0.07726561
 0.14248304 0.6412558  0.01910478]","[0.         0.         0.         0.0086191  0.11127168 0.07726561
 0.14248304 0.6412558  0.01910478]","[0.04210967 0.         0.         0.00899031 0.         0.03933753
 0.22301629 0.65854147 0.02800474]","[1.69622507e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.74201256e-04 2.51750111e-01 5.47354476e-01
 3.10987050e-02]","[0.29195306 0.         0.         0.         0.         0.
 0.27911785 0.39244318 0.0364859 ]","[0.40195951 0.         0.         0.         0.         0.
 0.30089992 0.25714548 0.03999509]","[0.50519916 0.         0.         0.         0.         0.
 0.3209479  0.12968837 0.04416457]","[0.61195175 0.         0.         0.         0.         0.
 0.30764286 0.03031114 0.05009426]","[0.73569154 0.         0.         0.         0.         0.
 0.21732277 0.         0.04698569]","[0.8592159  0.         0.         0.         0.         0.
 0.10039148 0.         0.04039261]","[0.97987416 0.         0.         0.         0.         0.
 0.00300794 0.         0.01711791]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.01500166 0.         0.04844912
 0.21403369 0.69565994 0.02685559]","[0.         0.         0.         0.00991394 0.11515025 0.07965201
 0.14282546 0.63284079 0.01961755]"
1998-07-31,"[0.         0.         0.         0.0085029  0.1099052  0.07629641
 0.14084585 0.64499758 0.01945206]","[0.         0.         0.         0.0085029  0.1099052  0.07629641
 0.14084585 0.64499758 0.01945206]","[0.04873467 0.         0.         0.00207208 0.         0.03861738
 0.22630397 0.65857699 0.02569491]","[0.17610292 0.         0.         0.         0.         0.
 0.2509088  0.54836001 0.02462827]","[0.29729412 0.         0.         0.         0.         0.
 0.2800882  0.3924467  0.03017098]","[0.4081895  0.         0.         0.         0.         0.
 0.30049782 0.26020936 0.03110332]","[0.51206915 0.         0.         0.         0.         0.
 0.32094689 0.13439491 0.03258905]","[0.61898736 0.         0.         0.         0.         0.
 0.31720898 0.03225319 0.03155047]","[0.74166641 0.         0.         0.         0.         0.
 0.22878604 0.         0.02954755]","[0.86563209 0.         0.         0.         0.         0.
 0.11465735 0.         0.01971056]","[0.98348793 0.         0.         0.         0.         0.
 0.00930338 0.         0.00720869]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.01235895 0.         0.         0.0080732  0.         0.04770227
 0.21762284 0.69175024 0.0224925 ]","[0.         0.         0.         0.00974486 0.11408799 0.0790938
 0.14311883 0.63425902 0.0196955 ]"
1998-08-31,"[0.         0.         0.         0.01056233 0.10713862 0.07221303
 0.14647234 0.65873849 0.00487518]","[0.         0.         0.         0.01056233 0.10713862 0.07221303
 0.14647234 0.65873849 0.00487518]","[0.04805066 0.         0.         0.006272   0.         0.0306465
 0.23015218 0.68402445 0.00085421]","[0.1841153  0.         0.         0.         0.         0.
 0.25730033 0.55858437 0.        ]","[0.32008027 0.         0.         0.         0.         0.
 0.22727374 0.45264599 0.        ]","[0.41964548 0.         0.         0.         0.         0.
 0.30052345 0.27983107 0.        ]","[0.52388469 0.         0.         0.         0.         0.
 0.32094969 0.15516561 0.        ]","[0.62791395 0.         0.         0.         0.         0.
 0.3260672  0.04601886 0.        ]","[0.74607847 0.         0.         0.         0.         0.
 0.25392153 0.         0.        ]","[0.86821723 0.         0.         0.         0.         0.
 0.13178277 0.         0.        ]","[0.98353356 0.         0.         0.         0.         0.
 0.01646644 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.00861754 0.         0.         0.01271389 0.         0.03964985
 0.22208905 0.71521703 0.00171264]","[0.         0.         0.         0.01047118 0.1115151  0.0746038
 0.14600745 0.64581613 0.01158635]"
1998-09-30,"[0.         0.         0.         0.00529543 0.10577539 0.06884091
 0.13731129 0.68277698 0.        ]","[0.         0.         0.         0.00529543 0.10577539 0.06884091
 0.13731129 0.68277698 0.        ]","[0.0286504  0.         0.         0.         0.         0.01166555
 0.2099725  0.74971155 0.        ]","[0.1804908  0.         0.         0.         0.         0.
 0.19506738 0.62444182 0.        ]","[0.30533993 0.         0.         0.         0.         0.
 0.15618308 0.53847699 0.        ]","[0.40653602 0.         0.         0.         0.         0.
 0.17247069 0.42099329 0.        ]","[0.50670034 0.         0.         0.         0.         0.
 0.16245257 0.33084708 0.        ]","[0.60326994 0.         0.         0.         0.         0.
 0.15279754 0.24393253 0.        ]","[0.69754587 0.         0.         0.         0.         0.
 0.14337189 0.15908224 0.        ]","[0.79154151 0.         0.         0.         0.         0.
 0.12780876 0.08064973 0.        ]","[0.89735071 0.         0.         0.         0.         0.
 0.04400529 0.05864399 0.        ]","[0.99315573 0.         0.         0.         0.         0.
 0.00684427 0.         0.        ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.00274674 0.         0.03103377
 0.19994614 0.76627335 0.        ]","[0.         0.         0.         0.00493146 0.1083979  0.07130308
 0.14608527 0.66658777 0.00269452]"
1998-10-30,"[0.         0.         0.         0.00216129 0.09599133 0.0596812
 0.1524783  0.68968789 0.        ]","[0.         0.         0.         0.00216129 0.09599133 0.0596812
 0.1524783  0.68968789 0.        ]","[0.02934129 0.         0.         0.         0.         0.01283886
 0.20789723 0.74992262 0.        ]","[0.18077376 0.         0.         0.         0.         0.
 0.18740276 0.63182347 0.        ]","[0.30329196 0.         0.         0.         0.         0.
 0.15578893 0.54091911 0.        ]","[0.40629882 0.         0.         0.         0.         0.
 0.16092637 0.43277481 0.        ]","[0.50669329 0.         0.         0.         0.         0.
 0.14727236 0.34603434 0.        ]","[0.60331098 0.         0.         0.         0.         0.
 0.13510548 0.26158353 0.        ]","[0.69748452 0.         0.         0.         0.         0.
 0.12406042 0.17845505 0.        ]","[0.7910228  0.         0.         0.         0.         0.
 0.10831575 0.10066145 0.        ]","[0.89222412 0.         0.         0.         0.         0.
 0.04402523 0.06375065 0.        ]","[0.9870899  0.         0.         0.         0.         0.
 0.00906686 0.00384324 0.        ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.00238264 0.         0.0318305
 0.20115338 0.76463349 0.        ]","[0.         0.         0.         0.00344387 0.10040336 0.06166817
 0.15082278 0.68366182 0.        ]"
