date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.01927155 0.         0.         0.01497351 0.1484066  0.11404258
 0.20848515 0.41595498 0.07886562]","[0.01927155 0.         0.         0.01497351 0.1484066  0.11404258
 0.20848515 0.41595498 0.07886562]","[0.01927155 0.         0.         0.01497351 0.1484066  0.11404258
 0.20848515 0.41595498 0.07886562]","[0.11752162 0.         0.         0.02961288 0.         0.09011892
 0.25842745 0.39616478 0.10815435]","[0.23887488 0.         0.         0.02768018 0.         0.03901156
 0.26049015 0.30191432 0.1320289 ]","[0.3344553  0.         0.         0.02566331 0.         0.
 0.25403968 0.23373826 0.15210346]","[0.4418532  0.         0.         0.02660869 0.         0.
 0.25616159 0.10427725 0.17109927]","[0.54669305 0.         0.         0.02377046 0.         0.
 0.23860461 0.         0.19093189]","[0.68095903 0.         0.         0.02604636 0.         0.
 0.10480013 0.         0.18819448]","[0.80758413 0.         0.         0.02565777 0.         0.
 0.         0.         0.16675809]","[0.96603947 0.         0.         0.00699891 0.         0.
 0.         0.         0.02696163]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.10816795 0.         0.         0.02958573 0.00042729 0.09463426
 0.25723656 0.40467823 0.10526998]","[0.01927155 0.         0.         0.01497351 0.1484066  0.11404258
 0.20848515 0.41595498 0.07886562]"
1998-03-31,"[0.02281822 0.         0.         0.01660601 0.14969397 0.11203796
 0.20708229 0.41741177 0.07434978]","[0.02281822 0.         0.         0.01660601 0.14969397 0.11203796
 0.20708229 0.41741177 0.07434978]","[0.02281822 0.         0.         0.01660601 0.14969397 0.11203796
 0.20708229 0.41741177 0.07434978]","[0.1241001  0.         0.         0.03495085 0.         0.09027083
 0.25758086 0.39627942 0.09681794]","[0.24243876 0.         0.         0.03691724 0.         0.0390744
 0.26045453 0.30389708 0.11721799]","[0.33763656 0.         0.         0.03650143 0.         0.
 0.25493716 0.23795505 0.13296981]","[0.44221073 0.         0.         0.0414647  0.         0.
 0.25543373 0.11113337 0.14975746]","[0.54668551 0.         0.         0.04234476 0.         0.
 0.23867138 0.00964339 0.16265495]","[0.67212959 0.         0.         0.04744054 0.         0.
 0.1184502  0.         0.16197967]","[0.78633898 0.         0.         0.05375612 0.         0.
 0.00219241 0.         0.15771249]","[0.93724745 0.         0.         0.04261543 0.         0.
 0.         0.         0.02013712]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.12064391 0.         0.         0.03450201 0.00682945 0.08981428
 0.25133285 0.40328657 0.09359094]","[0.0201471  0.         0.         0.01650239 0.14812392 0.11390398
 0.20688883 0.41692697 0.07750681]"
1998-04-30,"[0.01963202 0.         0.         0.01817439 0.15116048 0.11229281
 0.20537331 0.41862826 0.07473873]","[0.01963202 0.         0.         0.01817439 0.15116048 0.11229281
 0.20537331 0.41862826 0.07473873]","[0.01963202 0.         0.         0.01817439 0.15116048 0.11229281
 0.20537331 0.41862826 0.07473873]","[0.13569237 0.         0.         0.02500584 0.         0.08760162
 0.25768511 0.40245148 0.09156359]","[0.26388734 0.         0.         0.01966757 0.         0.03732259
 0.26122061 0.31450685 0.10339505]","[0.36368843 0.         0.         0.01663218 0.         0.
 0.25585971 0.24706868 0.116751  ]","[0.47787435 0.         0.         0.0123587  0.         0.
 0.25536762 0.12642167 0.12797765]","[0.58463779 0.         0.         0.00966987 0.         0.
 0.2419203  0.02521404 0.13855798]","[0.70751114 0.         0.         0.00889223 0.         0.
 0.14483256 0.         0.13876406]","[0.82693731 0.         0.         0.00849295 0.         0.
 0.03405124 0.         0.1305185 ]","[0.9637407 0.        0.        0.        0.        0.        0.
 0.        0.0362593]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.13947065 0.         0.         0.02364464 0.         0.08511704
 0.25857112 0.40578403 0.08741252]","[0.01997927 0.         0.         0.01738423 0.15051201 0.11387602
 0.2055553  0.41588926 0.07680391]"
1998-05-29,"[0.02027593 0.         0.         0.01738839 0.15242198 0.11112277
 0.20550031 0.41994353 0.0733471 ]","[0.02027593 0.         0.         0.01738839 0.15242198 0.11112277
 0.20550031 0.41994353 0.0733471 ]","[0.02027593 0.         0.         0.01738839 0.15242198 0.11112277
 0.20550031 0.41994353 0.0733471 ]","[0.14093589 0.         0.         0.0202839  0.00360506 0.08059263
 0.25918668 0.41481366 0.08058219]","[0.26815225 0.         0.         0.01214666 0.         0.02944964
 0.26483632 0.33852748 0.08688765]","[0.3792819  0.         0.         0.00612618 0.         0.
 0.26305096 0.25900399 0.09253697]","[4.98886630e-01 0.00000000e+00 0.00000000e+00 1.25260475e-04
 0.00000000e+00 0.00000000e+00 2.55634512e-01 1.47472974e-01
 9.78806228e-02]","[0.6053913  0.         0.         0.         0.         0.
 0.24532377 0.04587593 0.103409  ]","[0.72241819 0.         0.         0.         0.         0.
 0.17784093 0.         0.09974088]","[0.84751519 0.         0.         0.         0.         0.
 0.08537156 0.         0.06711325]","[0.96355937 0.         0.         0.         0.         0.
 0.         0.         0.03644063]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14507174 0.         0.         0.0188848  0.00245516 0.07851929
 0.26219519 0.41709554 0.07577829]","[0.01997994 0.         0.         0.01752856 0.15076545 0.11312793
 0.20577815 0.41629998 0.07651999]"
1998-06-30,"[0.01612988 0.         0.00259822 0.01226006 0.14772089 0.10858059
 0.20980644 0.43012279 0.07278115]","[0.01612988 0.         0.00259822 0.01226006 0.14772089 0.10858059
 0.20980644 0.43012279 0.07278115]","[0.01612988 0.         0.00259822 0.01226006 0.14772089 0.10858059
 0.20980644 0.43012279 0.07278115]","[0.13671179 0.         0.         0.00589307 0.         0.07355913
 0.26471981 0.43912459 0.0799916 ]","[0.26154684 0.         0.         0.         0.         0.01569936
 0.26738746 0.36850148 0.08686486]","[0.38150385 0.         0.         0.         0.         0.
 0.26324823 0.26263686 0.09261107]","[0.49646426 0.         0.         0.         0.         0.
 0.25375683 0.15057317 0.09920575]","[0.60262132 0.         0.         0.         0.         0.
 0.24436858 0.04963195 0.10337814]","[0.71810309 0.         0.         0.         0.         0.
 0.1823316  0.         0.09956531]","[0.84273728 0.         0.         0.         0.         0.
 0.08874392 0.         0.0685188 ]","[0.95781286 0.         0.         0.         0.         0.
 0.         0.         0.04218714]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14042631 0.         0.         0.00470316 0.         0.06860541
 0.26896439 0.43867282 0.07862791]","[0.01965568 0.         0.00050616 0.01385298 0.15094385 0.11153565
 0.20618369 0.42132104 0.07600096]"
1998-07-31,"[0.01700967 0.         0.00253473 0.01152061 0.14778003 0.10805493
 0.20945891 0.43129023 0.07235087]","[0.01700967 0.         0.00253473 0.01152061 0.14778003 0.10805493
 0.20945891 0.43129023 0.07235087]","[0.01700967 0.         0.00253473 0.01152061 0.14778003 0.10805493
 0.20945891 0.43129023 0.07235087]","[0.14237331 0.         0.         0.         0.00092418 0.07171305
 0.26726606 0.43936529 0.07835811]","[0.26501965 0.         0.         0.         0.         0.01407755
 0.27379194 0.36841842 0.07869244]","[0.38739245 0.         0.         0.         0.         0.
 0.26765088 0.26310068 0.08185599]","[0.5032091  0.         0.         0.         0.         0.
 0.2575835  0.15367044 0.08553697]","[0.60983269 0.         0.         0.         0.         0.
 0.24851999 0.05410001 0.08754731]","[0.72361987 0.         0.         0.         0.         0.
 0.19261866 0.         0.08376147]","[0.84516195 0.         0.         0.         0.         0.
 0.08984635 0.         0.06499171]","[0.95953139 0.         0.         0.         0.         0.
 0.         0.         0.04046861]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14944952 0.         0.         0.         0.         0.06857214
 0.27143856 0.43743999 0.0730998 ]","[0.01958024 0.         0.00111693 0.01254683 0.15116837 0.11080552
 0.20676039 0.42240238 0.07561932]"
1998-08-31,"[0.01485974 0.         0.00325458 0.01382816 0.14580507 0.10378805
 0.21679634 0.4405495  0.06111856]","[0.01485974 0.         0.00325458 0.01382816 0.14580507 0.10378805
 0.21679634 0.4405495  0.06111856]","[0.01485974 0.         0.00325458 0.01382816 0.14580507 0.10378805
 0.21679634 0.4405495  0.06111856]","[0.13991    0.         0.         0.00376531 0.00377249 0.06607432
 0.27748968 0.45726641 0.0517218 ]","[0.26499329 0.         0.         0.         0.         0.00594322
 0.28486859 0.40286886 0.04132605]","[0.39887678 0.         0.         0.         0.         0.
 0.28597609 0.28369617 0.03145095]","[0.51829039 0.         0.         0.         0.         0.
 0.28047233 0.17922911 0.02200817]","[0.62747994 0.         0.         0.         0.         0.
 0.27111626 0.08447206 0.01693174]","[0.73668478 0.         0.         0.         0.         0.
 0.24499317 0.01227679 0.00604526]","[0.85398334 0.         0.         0.         0.         0.
 0.14601666 0.         0.        ]","[0.9645326 0.        0.        0.        0.        0.        0.0354674
 0.        0.       ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1540679  0.         0.         0.00210419 0.         0.05673576
 0.28429096 0.45557642 0.04722478]","[0.0196849  0.         0.00164862 0.01362278 0.15090984 0.10658353
 0.20864689 0.4319306  0.06697283]"
1998-09-30,"[0.0105967  0.         0.00859392 0.00208814 0.15044071 0.10405311
 0.21643817 0.44662992 0.06115932]","[0.0105967  0.         0.00859392 0.00208814 0.15044071 0.10405311
 0.21643817 0.44662992 0.06115932]","[0.0105967  0.         0.00859392 0.00208814 0.15044071 0.10405311
 0.21643817 0.44662992 0.06115932]","[0.09767267 0.         0.         0.         0.0237202  0.06614682
 0.26773384 0.49871226 0.04601422]","[0.21323113 0.         0.         0.         0.         0.
 0.27901034 0.48483501 0.02292352]","[0.36338864 0.         0.         0.         0.         0.
 0.25767265 0.37893871 0.        ]","[0.48258995 0.         0.         0.         0.         0.
 0.21917383 0.29823623 0.        ]","[0.58478191 0.         0.         0.         0.         0.
 0.20752615 0.20769193 0.        ]","[0.68488006 0.         0.         0.         0.         0.
 0.17504828 0.14007166 0.        ]","[0.78039584 0.         0.         0.         0.         0.
 0.14600919 0.07359498 0.        ]","[0.87408392 0.         0.         0.         0.         0.
 0.11269758 0.01321849 0.        ]","[0.97500764 0.         0.         0.         0.         0.
 0.02499236 0.         0.        ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1364309  0.         0.         0.         0.         0.03974726
 0.27421519 0.51243716 0.0371695 ]","[0.01807982 0.         0.00544933 0.00265195 0.15215688 0.10705776
 0.20916436 0.43972685 0.06571305]"
1998-10-30,"[0.         0.         0.01828342 0.         0.14264063 0.09603882
 0.23522088 0.45268142 0.05513484]","[0.         0.         0.01828342 0.         0.14264063 0.09603882
 0.23522088 0.45268142 0.05513484]","[0.         0.         0.01828342 0.         0.14264063 0.09603882
 0.23522088 0.45268142 0.05513484]","[0.09255872 0.         0.         0.         0.03431251 0.06621881
 0.26556512 0.49530461 0.04604023]","[0.21254639 0.         0.         0.         0.         0.00333667
 0.26924233 0.48491886 0.02995575]","[0.36108033 0.         0.         0.         0.         0.
 0.25116095 0.38633315 0.00142556]","[0.48067105 0.         0.         0.         0.         0.
 0.211119   0.30820995 0.        ]","[0.58331344 0.         0.         0.         0.         0.
 0.19667477 0.22001179 0.        ]","[0.68336629 0.         0.         0.         0.         0.
 0.16165571 0.154978   0.        ]","[0.77594109 0.         0.         0.         0.         0.
 0.14600865 0.07805025 0.        ]","[0.86913461 0.         0.         0.         0.         0.
 0.11264499 0.01822039 0.        ]","[0.96809902 0.         0.         0.         0.         0.
 0.03190098 0.         0.        ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.13738537 0.         0.         0.         0.         0.04726052
 0.27009681 0.50218435 0.04307296]","[0.00546649 0.         0.0158036  0.         0.14952317 0.09788132
 0.23049714 0.44125738 0.0595709 ]"
