date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]","[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]","[0.04320223 0.         0.         0.         0.         0.
 0.86815432 0.01880525 0.06983821]","[0.22543432 0.         0.         0.         0.         0.
 0.63534291 0.         0.13922277]","[0.35812087 0.         0.         0.         0.         0.
 0.45211144 0.         0.18976769]","[0.4758533  0.         0.         0.         0.         0.
 0.28952799 0.         0.23461871]","[0.58653772 0.         0.         0.         0.         0.
 0.13667562 0.         0.27678666]","[0.7094472 0.        0.        0.        0.        0.        0.
 0.        0.2905528]","[0.91479788 0.         0.         0.         0.         0.
 0.         0.         0.08520212]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04259533 0.         0.         0.         0.         0.
 0.86720886 0.02055581 0.06964   ]","[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]"
1998-03-31,"[0.         0.         0.         0.         0.07650311 0.03390941
 0.46956765 0.42001983 0.        ]","[0.         0.         0.         0.         0.07650311 0.03390941
 0.46956765 0.42001983 0.        ]","[0.05338415 0.         0.         0.         0.         0.
 0.87049911 0.01880524 0.0573115 ]","[0.23948174 0.         0.         0.         0.         0.
 0.65629327 0.         0.10422499]","[0.37600155 0.         0.         0.         0.         0.
 0.48309175 0.         0.1409067 ]","[0.49764757 0.         0.         0.         0.         0.
 0.3291511  0.         0.17320133]","[6.11978487e-01 1.42719383e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.84086664e-01 0.00000000e+00
 2.03792129e-01]","[0.72192826 0.00158451 0.         0.         0.         0.
 0.04447934 0.         0.2320079 ]","[0.87892349 0.         0.         0.         0.         0.
 0.         0.         0.12107651]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.0646482  0.         0.         0.         0.         0.
 0.87740682 0.         0.05794498]","[0.         0.         0.         0.         0.07340399 0.03291735
 0.47589602 0.41778264 0.        ]"
1998-04-30,"[0.         0.         0.         0.         0.07981693 0.03423798
 0.46310074 0.41774798 0.00509636]","[0.         0.         0.         0.         0.07981693 0.03423798
 0.46310074 0.41774798 0.00509636]","[0.05919813 0.         0.         0.         0.         0.
 0.87200096 0.0187897  0.05001122]","[0.24871008 0.         0.         0.         0.         0.
 0.67263805 0.         0.07865187]","[0.38858691 0.00172932 0.         0.         0.         0.
 0.51096062 0.         0.09872316]","[0.51190628 0.00548873 0.         0.         0.         0.
 0.36628019 0.         0.1163248 ]","[0.62811339 0.00897356 0.         0.         0.         0.
 0.2300761  0.         0.13283694]","[0.74010977 0.01244135 0.         0.         0.         0.
 0.09865172 0.         0.14879716]","[0.8633448  0.00912508 0.         0.         0.         0.
 0.         0.         0.12753012]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07433547 0.         0.         0.         0.         0.
 0.87624464 0.         0.04941989]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.44056782e-02 3.28150813e-02 4.74585605e-01 4.17790076e-01
 4.03559229e-04]"
1998-05-29,"[0.         0.         0.         0.         0.0857879  0.03565214
 0.45763727 0.41972483 0.00119786]","[0.         0.         0.         0.         0.0857879  0.03565214
 0.45763727 0.41972483 0.00119786]","[0.05801998 0.         0.         0.         0.         0.
 0.8714952  0.022422   0.04806282]","[0.2502681  0.00176958 0.         0.         0.         0.
 0.67004212 0.         0.0779202 ]","[0.38990092 0.00972263 0.         0.         0.         0.
 0.5012957  0.         0.09908075]","[0.51551056 0.01566192 0.         0.         0.         0.
 0.35250271 0.         0.11632481]","[0.6318232  0.02419425 0.         0.         0.         0.
 0.21112789 0.         0.13285467]","[0.74514809 0.03020844 0.         0.         0.         0.
 0.07472553 0.         0.14991793]","[0.8855444  0.01198572 0.         0.         0.         0.
 0.         0.         0.10246988]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.09356553 0.         0.         0.         0.         0.
 0.85237151 0.         0.05406296]","[0.         0.         0.         0.         0.07880096 0.0326957
 0.4699767  0.41852664 0.        ]"
1998-06-30,"[0.         0.         0.         0.         0.08355515 0.03091808
 0.46034398 0.4251828  0.        ]","[0.         0.         0.         0.         0.08355515 0.03091808
 0.46034398 0.4251828  0.        ]","[0.05725263 0.         0.         0.         0.         0.
 0.86167505 0.03062944 0.05044288]","[0.24362892 0.         0.         0.         0.         0.
 0.66881553 0.         0.08755555]","[0.38448121 0.         0.         0.         0.         0.
 0.49933656 0.         0.11618223]","[0.51076341 0.         0.         0.         0.         0.
 0.35028062 0.         0.13895597]","[0.62864079 0.         0.         0.         0.         0.
 0.20766288 0.         0.16369632]","[0.74272063 0.         0.         0.         0.         0.
 0.07102212 0.         0.18625725]","[0.87635953 0.         0.         0.         0.         0.
 0.         0.         0.12364047]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07942463 0.         0.         0.         0.         0.
 0.86224812 0.         0.05832726]","[0.         0.         0.         0.         0.07993221 0.03240333
 0.46897691 0.41868755 0.        ]"
1998-07-31,"[0.         0.         0.         0.         0.08205879 0.02634943
 0.46319321 0.42757448 0.00082409]","[0.         0.         0.         0.         0.08205879 0.02634943
 0.46319321 0.42757448 0.00082409]","[0.07060349 0.         0.         0.         0.         0.
 0.84021408 0.04217176 0.04701066]","[0.24858201 0.         0.         0.         0.         0.
 0.67236926 0.         0.07904873]","[0.38912757 0.         0.         0.         0.         0.
 0.50831885 0.         0.10255359]","[0.51482342 0.         0.         0.         0.         0.
 0.36162755 0.         0.12354903]","[0.63339443 0.         0.         0.         0.         0.
 0.22325855 0.         0.14334702]","[0.74785019 0.         0.         0.         0.         0.
 0.08968946 0.         0.16246035]","[0.87309441 0.         0.         0.         0.         0.
 0.         0.         0.12690559]","[0.99538788 0.0028039  0.         0.00180821 0.         0.
 0.         0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.10175542 0.         0.         0.         0.         0.
 0.84690335 0.         0.05134123]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.04558427e-02 2.85691801e-02 4.69443531e-01 4.21392396e-01
 1.39050112e-04]"
1998-08-31,"[0.         0.         0.         0.         0.08859396 0.01839359
 0.46174651 0.43126594 0.        ]","[0.         0.         0.         0.         0.08859396 0.01839359
 0.46174651 0.43126594 0.        ]","[0.07990815 0.         0.         0.         0.         0.
 0.84282593 0.05944791 0.01781801]","[0.25848783 0.         0.         0.         0.         0.
 0.72293649 0.         0.01857568]","[0.40304135 0.         0.         0.         0.         0.
 0.57839783 0.         0.01856082]","[0.53224483 0.         0.         0.         0.         0.
 0.44921382 0.         0.01854134]","[0.65409744 0.         0.         0.         0.         0.
 0.32737656 0.         0.018526  ]","[0.77170734 0.         0.         0.         0.         0.
 0.20978149 0.         0.01851117]","[0.88660266 0.         0.         0.         0.         0.
 0.09490336 0.         0.01849398]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.10618257 0.         0.         0.         0.         0.
 0.87359772 0.00458882 0.01563089]","[0.         0.         0.         0.         0.08549067 0.02329673
 0.46981786 0.42139473 0.        ]"
1998-09-30,"[0.         0.         0.         0.         0.06984994 0.
 0.31247747 0.6176726  0.        ]","[0.         0.         0.         0.         0.06984994 0.
 0.31247747 0.6176726  0.        ]","[0.06247031 0.         0.         0.         0.         0.
 0.49681947 0.44071022 0.        ]","[0.18845091 0.         0.         0.         0.         0.
 0.54251767 0.26903142 0.        ]","[0.28952448 0.         0.         0.         0.         0.
 0.5752667  0.13520883 0.        ]","[0.39389138 0.         0.         0.         0.         0.
 0.53907406 0.06703456 0.        ]","[0.49188003 0.         0.         0.         0.         0.
 0.50811997 0.         0.        ]","[0.59794048 0.         0.         0.         0.         0.
 0.40205952 0.         0.        ]","[0.69969495 0.         0.         0.         0.         0.
 0.30030505 0.         0.        ]","[0.79863452 0.         0.         0.         0.         0.
 0.20136548 0.         0.        ]","[0.89561104 0.         0.         0.         0.         0.
 0.10438896 0.         0.        ]","[0.99115518 0.         0.         0.         0.         0.
 0.00884482 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04730592 0.         0.         0.         0.         0.
 0.47563565 0.47705843 0.        ]","[0.         0.         0.         0.         0.07063867 0.
 0.34049491 0.58886642 0.        ]"
1998-10-30,"[0.         0.         0.         0.         0.04255566 0.
 0.34927286 0.60817148 0.        ]","[0.         0.         0.         0.         0.04255566 0.
 0.34927286 0.60817148 0.        ]","[0.06384621 0.         0.         0.         0.         0.
 0.46664556 0.46950823 0.        ]","[0.19723621 0.         0.         0.         0.         0.
 0.47877752 0.32398627 0.        ]","[0.3025386  0.         0.         0.         0.         0.
 0.48834948 0.20911192 0.        ]","[0.39838526 0.         0.         0.         0.         0.
 0.49706373 0.104551   0.        ]","[0.49133641 0.         0.         0.         0.         0.
 0.49309813 0.01556546 0.        ]","[5.92737960e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.06892280e-01 3.69760827e-04
 0.00000000e+00]","[0.69251202 0.         0.         0.         0.         0.
 0.30748798 0.         0.        ]","[0.78955819 0.         0.         0.         0.         0.
 0.21044181 0.         0.        ]","[0.88466528 0.         0.         0.         0.         0.
 0.11533472 0.         0.        ]","[0.97835801 0.         0.         0.         0.         0.
 0.02164199 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06175699 0.         0.         0.         0.         0.
 0.44867685 0.48956617 0.        ]","[0.         0.         0.         0.         0.04922744 0.
 0.34472526 0.6060473  0.        ]"
