date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.02944659 0.         0.02055341 0.06759672 0.03240328
 0.36395728 0.43604272 0.05      ]","[0.         0.02944659 0.         0.02055341 0.06759672 0.03240328
 0.36395728 0.43604272 0.05      ]","[0.05      0.        0.        0.        0.        0.05      0.7458708
 0.        0.1541292]","[0.07860446 0.         0.         0.         0.         0.05
 0.56663367 0.         0.30476186]","[0.14763272 0.         0.         0.         0.         0.05
 0.41567319 0.         0.3866941 ]","[0.21401185 0.         0.         0.         0.         0.05
 0.2704014  0.         0.46558675]","[0.27891143 0.         0.         0.         0.         0.05
 0.12836737 0.         0.5427212 ]","[0.48961544 0.         0.         0.         0.         0.05
 0.05       0.         0.41038456]","[0.65206563 0.         0.         0.         0.         0.05
 0.05       0.         0.24793437]","[0.7704219 0.        0.        0.        0.        0.05      0.05
 0.        0.1295781]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05      0.        0.        0.        0.        0.05      0.7636712
 0.        0.1363288]","[0.         0.02944659 0.         0.02055341 0.06759672 0.03240328
 0.36395728 0.43604272 0.05      ]"
1998-03-31,"[0.         0.0256139  0.         0.0243861  0.08100405 0.01899595
 0.20547927 0.59452073 0.05      ]","[0.         0.0256139  0.         0.0243861  0.08100405 0.01899595
 0.20547927 0.59452073 0.05      ]","[0.05       0.         0.         0.         0.         0.05
 0.74673313 0.         0.15326687]","[0.13409999 0.         0.         0.         0.         0.05
 0.58085672 0.         0.23504329]","[0.21227293 0.         0.         0.         0.         0.05
 0.42983381 0.         0.30789325]","[0.28704827 0.         0.         0.         0.         0.05
 0.28537379 0.         0.37757793]","[0.3599186  0.         0.         0.         0.         0.05
 0.14459404 0.         0.44548736]","[0.49173118 0.         0.         0.         0.         0.05
 0.05       0.         0.40826882]","[0.64129387 0.         0.         0.         0.         0.05
 0.05       0.         0.25870613]","[0.75021476 0.         0.         0.         0.         0.05
 0.05       0.         0.14978524]","[0.57859929 0.         0.         0.22140071 0.         0.05
 0.05       0.         0.1       ]","[0.40394214 0.         0.         0.39605786 0.         0.05
 0.05       0.         0.1       ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[0.05 0.   0.   0.   0.   0.05 0.8  0.   0.1 ],"[0.         0.02341272 0.         0.02658728 0.06917684 0.03082316
 0.35645869 0.44354131 0.05      ]"
1998-04-30,"[0.         0.03154938 0.         0.01845062 0.09525579 0.00474421
 0.14343584 0.65656416 0.05      ]","[0.         0.03154938 0.         0.01845062 0.09525579 0.00474421
 0.14343584 0.65656416 0.05      ]","[0.05772496 0.         0.         0.         0.00883683 0.04116317
 0.73317057 0.         0.15910447]","[0.14243102 0.         0.         0.         0.00804382 0.04195618
 0.57048061 0.         0.23708837]","[0.22016559 0.         0.         0.         0.00736407 0.04263593
 0.4212596  0.         0.30857481]","[0.29427828 0.         0.         0.         0.00714517 0.04285483
 0.27798188 0.         0.37773984]","[0.36590361 0.         0.         0.         0.00650235 0.04349765
 0.13804247 0.         0.44605392]","[0.49405598 0.         0.         0.         0.         0.05
 0.05       0.         0.40594402]","[0.6371348 0.        0.        0.        0.        0.05      0.05
 0.        0.2628652]","[0.74362713 0.         0.         0.         0.         0.05
 0.05       0.         0.15637287]","[0.61110779 0.         0.         0.18889221 0.         0.05
 0.05       0.         0.1       ]","[0.43775987 0.         0.         0.36224013 0.05       0.
 0.05       0.         0.1       ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.01503598 0.03496402
 0.79747978 0.         0.10252022]","[0.         0.02600247 0.         0.02399753 0.08337554 0.01662446
 0.2646993  0.5353007  0.05      ]"
1998-05-29,"[0.         0.03425697 0.         0.01574303 0.1        0.
 0.08944416 0.71055584 0.05      ]","[0.         0.03425697 0.         0.01574303 0.1        0.
 0.08944416 0.71055584 0.05      ]","[0.07326581 0.         0.         0.         0.03233867 0.01766133
 0.75297237 0.         0.12376182]","[0.16313005 0.         0.         0.         0.03954624 0.01045376
 0.5985327  0.         0.18833725]","[0.24588297 0.         0.         0.         0.04650466 0.00349534
 0.45653053 0.         0.2475865 ]","[0.32485558 0.         0.         0.         0.05       0.
 0.32034397 0.         0.30480045]","[0.40162549 0.         0.         0.         0.05       0.
 0.18771131 0.         0.3606632 ]","[0.48231557 0.         0.         0.         0.05       0.
 0.06151719 0.         0.40616724]","[0.63564493 0.         0.         0.         0.05       0.
 0.05       0.         0.26435507]","[0.74783735 0.         0.         0.         0.05       0.
 0.05       0.         0.15216265]","[0.62735874 0.         0.         0.17264126 0.         0.05
 0.05       0.         0.1       ]","[0.44131619 0.         0.         0.35868381 0.05       0.
 0.05       0.         0.1       ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.03176725 0.01823275
 0.8        0.         0.1       ]","[0.         0.0303218  0.         0.0196782  0.09281012 0.00718988
 0.19764804 0.60235196 0.05      ]"
1998-06-30,"[0.         0.03872446 0.         0.01127554 0.1        0.
 0.02199655 0.77800345 0.05      ]","[0.         0.03872446 0.         0.01127554 0.1        0.
 0.02199655 0.77800345 0.05      ]","[0.06632285 0.         0.         0.         0.02058083 0.02941917
 0.77242561 0.         0.11125154]","[0.15407519 0.         0.         0.         0.02448544 0.02551456
 0.62404449 0.         0.17188032]","[0.23494356 0.         0.         0.         0.02791646 0.02208354
 0.48720534 0.         0.22785111]","[0.3125848  0.         0.         0.         0.03121891 0.01878109
 0.35581256 0.         0.28160264]","[0.3883995  0.         0.         0.         0.03445128 0.01554872
 0.22750059 0.         0.33409991]","[0.46301803 0.         0.         0.         0.03765007 0.01234993
 0.10108359 0.         0.38589838]","[0.59026088 0.         0.         0.         0.02679381 0.02320619
 0.05       0.         0.30973912]","[0.70777138 0.         0.         0.         0.01100565 0.03899435
 0.05       0.         0.19222862]","[0.77678453 0.         0.         0.02321547 0.         0.05
 0.05       0.         0.1       ]","[0.55890083 0.         0.         0.24109917 0.         0.05
 0.05       0.         0.1       ]","[0.43600798 0.         0.         0.36399202 0.05       0.
 0.05       0.         0.1       ]",[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.03341791 0.01658209
 0.64009907 0.15990093 0.1       ]","[0.         0.03129517 0.00879808 0.00990674 0.09429224 0.00570776
 0.15489909 0.64510091 0.05      ]"
1998-07-31,"[0.         0.03756677 0.         0.01243323 0.1        0.
 0.02176342 0.77823658 0.05      ]","[0.         0.03756677 0.         0.01243323 0.1        0.
 0.02176342 0.77823658 0.05      ]","[0.0791882  0.         0.         0.         0.04387532 0.00612468
 0.78818561 0.         0.08262619]","[0.17285632 0.         0.         0.         0.05       0.
 0.64046609 0.         0.13667759]","[0.25839942 0.         0.         0.         0.05       0.
 0.50540503 0.         0.18619555]","[0.34002127 0.         0.         0.         0.05       0.
 0.37652745 0.         0.23345128]","[0.41945681 0.         0.         0.         0.05       0.
 0.25109651 0.         0.27944667]","[0.49753105 0.         0.         0.         0.05       0.
 0.12781285 0.         0.3246561 ]","[0.60160671 0.         0.         0.         0.05       0.
 0.05       0.         0.29839329]","[0.7200904 0.        0.        0.        0.05      0.        0.05
 0.        0.1799096]","[0.76392709 0.         0.         0.03607291 0.         0.05
 0.05       0.         0.1       ]","[0.56515111 0.         0.         0.23484889 0.         0.05
 0.05       0.         0.1       ]","[0.45090817 0.         0.         0.34909183 0.05       0.
 0.05       0.         0.1       ]",[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.05       0.
 0.58520352 0.21479648 0.1       ]","[0.         0.03159333 0.00901751 0.00938916 0.09573591 0.00426409
 0.13997205 0.66002795 0.05      ]"
1998-08-31,"[0.         0.00758189 0.01400309 0.02841502 0.09505716 0.00494284
 0.03894415 0.76105585 0.05      ]","[0.         0.00758189 0.01400309 0.02841502 0.09505716 0.00494284
 0.03894415 0.76105585 0.05      ]","[0.09234988 0.         0.         0.         0.03722806 0.01277194
 0.73078131 0.06921869 0.05765012]","[0.20154162 0.         0.         0.         0.03616657 0.01383343
 0.69845838 0.         0.05      ]","[0.3037363  0.         0.         0.         0.03937237 0.01062763
 0.5962637  0.         0.05      ]","[0.40068065 0.         0.         0.         0.04255424 0.00744576
 0.49931935 0.         0.05      ]","[0.49473832 0.         0.         0.         0.04564069 0.00435931
 0.40526168 0.         0.05      ]","[5.85593424e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.98412817e-02 1.58718261e-04 3.06879621e-01 0.00000000e+00
 5.75269546e-02]","[0.67430194 0.         0.         0.         0.05       0.
 0.20516341 0.         0.07053466]","[0.76259807 0.         0.         0.         0.05       0.
 0.1055632  0.         0.08183872]","[0.64356086 0.         0.         0.15643914 0.05       0.
 0.05       0.         0.1       ]","[0.5073716 0.        0.        0.2926284 0.05      0.        0.05
 0.        0.1      ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.1        0.         0.         0.         0.03286141 0.01713859
 0.78792386 0.01207614 0.05      ]","[0.         0.00632957 0.02077391 0.02289653 0.09120175 0.00879825
 0.13716208 0.66283792 0.05      ]"
1998-09-30,"[0.         0.         0.04052096 0.00947904 0.1        0.
 0.         0.8        0.05      ]","[0.         0.         0.04052096 0.00947904 0.1        0.
 0.         0.8        0.05      ]","[0.10209239 0.         0.         0.         0.05       0.
 0.         0.79790761 0.05      ]","[0.17998812 0.         0.         0.         0.05       0.
 0.         0.72001188 0.05      ]","[0.24859661 0.         0.         0.         0.05       0.
 0.         0.65140339 0.05      ]","[0.31325057 0.         0.         0.         0.05       0.
 0.         0.58674943 0.05      ]","[0.37576286 0.         0.         0.         0.05       0.
 0.         0.52423714 0.05      ]","[0.43696357 0.         0.         0.         0.05       0.
 0.         0.46303643 0.05      ]","[0.49729439 0.         0.         0.         0.05       0.
 0.         0.40270561 0.05      ]","[0.5570156 0.        0.        0.        0.05      0.        0.
 0.3429844 0.05     ]","[0.61629165 0.         0.         0.         0.05       0.
 0.         0.28370835 0.05      ]","[0.67523202 0.         0.         0.         0.05       0.
 0.         0.22476798 0.05      ]","[0.73391263 0.         0.         0.         0.05       0.
 0.         0.16608737 0.05      ]","[0.7923879 0.        0.        0.        0.05      0.        0.
 0.1076121 0.05     ]","[0.06888094 0.         0.         0.         0.05       0.
 0.         0.8        0.08111906]","[0.         0.         0.03880711 0.01119289 0.09792378 0.00207622
 0.         0.8        0.05      ]"
1998-10-30,"[0.         0.         0.053817   0.         0.08946033 0.
 0.         0.8        0.05672267]","[0.         0.         0.053817   0.         0.08946033 0.
 0.         0.8        0.05672267]","[0.05259789 0.         0.00180262 0.         0.05       0.
 0.         0.8        0.09559949]","[0.16138394 0.         0.         0.         0.05       0.
 0.         0.73861606 0.05      ]","[0.23280905 0.         0.         0.         0.05       0.
 0.         0.66719095 0.05      ]","[0.29907669 0.         0.         0.         0.05       0.
 0.         0.60092331 0.05      ]","[0.36265017 0.         0.         0.         0.05       0.
 0.         0.53734983 0.05      ]","[0.42460562 0.         0.         0.         0.05       0.
 0.         0.47539438 0.05      ]","[0.48550005 0.         0.         0.         0.05       0.
 0.         0.41449995 0.05      ]","[0.54565656 0.         0.         0.         0.05       0.
 0.         0.35434344 0.05      ]","[0.60527705 0.         0.         0.         0.05       0.
 0.         0.29472295 0.05      ]","[0.66449492 0.         0.         0.         0.05       0.
 0.         0.23550508 0.05      ]","[0.72340212 0.         0.         0.         0.05       0.
 0.         0.17659788 0.05      ]","[0.78206432 0.         0.         0.         0.05       0.
 0.         0.11793568 0.05      ]","[0.07326354 0.         0.         0.         0.05       0.
 0.         0.80000001 0.07673645]","[0.         0.         0.05152737 0.         0.09317374 0.
 0.         0.8        0.05529889]"
