date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.01519023 0.0033827  0.         0.03142707 0.14813587 0.10312853
 0.28271116 0.30691903 0.10910541]","[0.01519023 0.0033827  0.         0.03142707 0.14813587 0.10312853
 0.28271116 0.30691903 0.10910541]","[0.01519023 0.0033827  0.         0.03142707 0.14813587 0.10312853
 0.28271116 0.30691903 0.10910541]","[0.0695113  0.01461649 0.         0.         0.02908376 0.05357789
 0.33459862 0.28773041 0.21088151]","[0.18465437 0.         0.         0.         0.         0.05
 0.29133646 0.1390641  0.33494506]","[0.26320066 0.         0.         0.         0.         0.05
 0.2477249  0.02373011 0.41534433]","[0.33951555 0.         0.         0.         0.         0.05
 0.11682333 0.         0.49366112]","[0.55237065 0.         0.         0.         0.         0.05
 0.05       0.         0.34762935]","[0.69757834 0.         0.         0.         0.         0.05
 0.05       0.         0.20242166]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.20056558 0.         0.         0.         0.         0.05
 0.28259397 0.1151708  0.35166964]","[0.01519023 0.0033827  0.         0.03142707 0.14813587 0.10312853
 0.28271116 0.30691903 0.10910541]"
1998-03-31,"[0.00789462 0.00206792 0.         0.04003746 0.14540272 0.09399891
 0.28987857 0.32399737 0.09672244]","[0.00789462 0.00206792 0.         0.04003746 0.14540272 0.09399891
 0.28987857 0.32399737 0.09672244]","[0.00789462 0.00206792 0.         0.04003746 0.14540272 0.09399891
 0.28987857 0.32399737 0.09672244]","[0.07759287 0.02243451 0.00525824 0.         0.03150574 0.03282699
 0.33596678 0.3109962  0.18341868]","[0.21694987 0.         0.         0.         0.         0.05
 0.28822586 0.15453727 0.290287  ]","[0.30685049 0.         0.         0.         0.         0.05
 0.24320509 0.04429828 0.35564614]","[0.39185421 0.         0.         0.         0.         0.05
 0.14332349 0.         0.4148223 ]","[0.52691524 0.         0.         0.         0.         0.05
 0.05       0.         0.37308476]","[0.67087234 0.         0.         0.         0.         0.05
 0.05       0.         0.22912766]","[0.77531449 0.         0.         0.         0.         0.05
 0.05       0.         0.12468551]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.23753052 0.         0.         0.         0.         0.05
 0.27442482 0.13545718 0.30258748]","[0.0123684  0.00209569 0.         0.03553592 0.14785119 0.09572184
 0.28526376 0.31874473 0.10241847]"
1998-04-30,"[0.01122945 0.00404949 0.         0.03472106 0.14053309 0.08351791
 0.29480467 0.33172645 0.09941788]","[0.01122945 0.00404949 0.         0.03472106 0.14053309 0.08351791
 0.29480467 0.33172645 0.09941788]","[0.01122945 0.00404949 0.         0.03472106 0.14053309 0.08351791
 0.29480467 0.33172645 0.09941788]","[0.09159428 0.01607796 0.         0.         0.03480235 0.01519765
 0.33572183 0.31047112 0.19613481]","[0.22914983 0.         0.         0.         0.02053598 0.02946402
 0.27228144 0.15422823 0.2943405 ]","[0.31390925 0.         0.         0.         0.01183307 0.03816693
 0.22931983 0.04870769 0.35806322]","[0.3953446  0.         0.         0.         0.00431781 0.04568219
 0.13991584 0.         0.41473955]","[0.52577105 0.         0.         0.         0.         0.05
 0.05       0.         0.37422895]","[0.6660369 0.        0.        0.        0.        0.05      0.05
 0.        0.2339631]","[0.76916924 0.         0.         0.         0.         0.05
 0.05       0.         0.13083076]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.23337639 0.         0.         0.         0.02153376 0.02846624
 0.2671203  0.15134163 0.29816168]","[0.01239582 0.00191137 0.         0.03569281 0.14563476 0.08636364
 0.2896344  0.32580929 0.10255791]"
1998-05-29,"[0.01631259 0.00220314 0.         0.03148426 0.14523175 0.07984141
 0.29506298 0.3345706  0.09529324]","[0.01631259 0.00220314 0.         0.03148426 0.14523175 0.07984141
 0.29506298 0.3345706  0.09529324]","[0.01631259 0.00220314 0.         0.03148426 0.14523175 0.07984141
 0.29506298 0.3345706  0.09529324]","[0.10419184 0.0009266  0.         0.         0.04863409 0.00136591
 0.34020344 0.32394058 0.18073755]","[0.24592835 0.         0.         0.         0.04895891 0.00104109
 0.27231769 0.17389553 0.25785842]","[0.33862344 0.         0.         0.         0.04907962 0.00092038
 0.22824575 0.07424982 0.30888099]","[0.42149522 0.         0.         0.         0.04998934 0.
 0.17488667 0.         0.35362878]","[0.51364361 0.         0.         0.         0.05       0.
 0.05170788 0.         0.38464852]","[0.66644319 0.         0.         0.         0.05       0.
 0.05       0.         0.23355681]","[0.77285136 0.         0.         0.         0.048918   0.001082
 0.05       0.         0.12714864]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.2337496  0.         0.         0.         0.05       0.
 0.27713707 0.19018437 0.24892896]","[0.01238416 0.00253029 0.         0.03508555 0.14591061 0.08383152
 0.29143005 0.3301858  0.09864203]"
1998-06-30,"[0.01344497 0.         0.02728175 0.00927328 0.12044702 0.06081552
 0.31625149 0.36736641 0.08511955]","[0.01344497 0.         0.02728175 0.00927328 0.12044702 0.06081552
 0.31625149 0.36736641 0.08511955]","[0.01344497 0.         0.02728175 0.00927328 0.12044702 0.06081552
 0.31625149 0.36736641 0.08511955]","[0.10965036 0.         0.         0.         0.04245811 0.00754189
 0.34196962 0.31948969 0.17889034]","[0.23192317 0.         0.         0.         0.03722839 0.01277161
 0.2820428  0.19128916 0.24474487]","[0.32126625 0.         0.         0.         0.03371143 0.01628857
 0.23758356 0.09910041 0.29204977]","[0.40002098 0.         0.         0.         0.03018299 0.01981701
 0.19922997 0.01686198 0.33388707]","[0.48422675 0.         0.         0.         0.02966158 0.02033842
 0.09447544 0.         0.37129781]","[0.61283285 0.         0.         0.         0.01438519 0.03561481
 0.05       0.         0.28716715]","[0.72611101 0.         0.         0.         0.         0.05
 0.05       0.         0.17388899]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],"[0.17896928 0.         0.         0.         0.03836815 0.01163185
 0.3118898  0.24527469 0.21386623]","[0.0121165  0.00245211 0.02375878 0.0116726  0.1245028  0.06373845
 0.31092506 0.36305478 0.08777891]"
1998-07-31,"[0.01365926 0.00080831 0.02886453 0.00666789 0.11883231 0.05795864
 0.31895066 0.3722965  0.08196189]","[0.01365926 0.00080831 0.02886453 0.00666789 0.11883231 0.05795864
 0.31895066 0.3722965  0.08196189]","[0.01365926 0.00080831 0.02886453 0.00666789 0.11883231 0.05795864
 0.31895066 0.3722965  0.08196189]","[0.12153995 0.         0.         0.         0.05       0.
 0.34323109 0.32018494 0.16504403]","[0.248435   0.         0.         0.         0.05       0.
 0.28628104 0.1983412  0.21694276]","[0.34243535 0.         0.         0.         0.05       0.
 0.24373684 0.10835498 0.25547284]","[0.42599733 0.         0.         0.         0.05       0.
 0.2026487  0.03096634 0.29038763]","[0.51163945 0.         0.         0.         0.05       0.
 0.11852538 0.         0.31983517]","[0.62079056 0.         0.         0.         0.05       0.
 0.05       0.         0.27920944]","[0.73513536 0.         0.         0.         0.05       0.
 0.05       0.         0.16486464]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],"[0.20702329 0.         0.         0.         0.05       0.
 0.30673444 0.23887104 0.19737123]","[0.01385483 0.00259373 0.02509454 0.0084569  0.12381872 0.06154996
 0.31234036 0.36708822 0.08520274]"
1998-08-31,"[0.         0.         0.02710481 0.02289519 0.11861013 0.06549744
 0.32972506 0.37426519 0.06190218]","[0.         0.         0.02710481 0.02289519 0.11861013 0.06549744
 0.32972506 0.37426519 0.06190218]","[0.         0.         0.02710481 0.02289519 0.11861013 0.06549744
 0.32972506 0.37426519 0.06190218]","[0.07502048 0.         0.02460704 0.         0.0451213  0.0048787
 0.37404873 0.37393361 0.10239013]","[0.27029616 0.         0.         0.         0.04839122 0.00160878
 0.3249969  0.24060258 0.11410436]","[0.38589929 0.         0.         0.         0.04773047 0.00226953
 0.29046604 0.15441867 0.119216  ]","[0.48495006 0.         0.         0.         0.04714701 0.00285299
 0.26082626 0.0806383  0.12358538]","[0.57660502 0.         0.         0.         0.04662427 0.00337573
 0.22898112 0.01568244 0.12873143]","[0.67204546 0.         0.         0.         0.04759877 0.00240123
 0.15492056 0.         0.12303398]","[7.63926589e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.92919476e-02 7.08052401e-04 6.89104058e-02 0.00000000e+00
 1.17163006e-01]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.30434042 0.         0.         0.         0.04683008 0.00316992
 0.31633828 0.21652356 0.11279774]","[0.00410792 0.         0.02556865 0.02032343 0.12355854 0.0631475
 0.32543718 0.37122317 0.0666336 ]"
1998-09-30,"[0.00634312 0.         0.04365688 0.         0.16827352 0.10330643
 0.24891851 0.35874522 0.07075633]","[0.00634312 0.         0.04365688 0.         0.16827352 0.10330643
 0.24891851 0.35874522 0.07075633]","[0.00634312 0.         0.04365688 0.         0.16827352 0.10330643
 0.24891851 0.35874522 0.07075633]","[0.00634312 0.         0.04365688 0.         0.16827352 0.10330643
 0.24891851 0.35874522 0.07075633]","[0.00634312 0.         0.04365688 0.         0.16827352 0.10330643
 0.24891851 0.35874522 0.07075633]","[0.14523948 0.         0.         0.         0.05       0.
 0.27380296 0.4431566  0.08780097]","[0.29205255 0.         0.         0.         0.05       0.
 0.18356839 0.42437906 0.05      ]","[0.39086138 0.         0.         0.         0.05       0.
 0.10586064 0.40327798 0.05      ]","[0.47490501 0.         0.         0.         0.05       0.
 0.03976618 0.38532882 0.05      ]","[0.5527998 0.        0.        0.        0.05      0.        0.
 0.3472002 0.05     ]","[0.62561318 0.         0.         0.         0.05       0.
 0.         0.27438682 0.05      ]","[0.69300866 0.         0.         0.         0.05       0.
 0.         0.20699134 0.05      ]","[0.75690739 0.         0.         0.         0.05       0.
 0.         0.14309261 0.05      ]","[0.8        0.         0.         0.         0.05       0.
 0.01882816 0.03154763 0.09962422]","[0.29908987 0.         0.         0.         0.05       0.
 0.17307533 0.4278348  0.05      ]","[0.00578022 0.         0.04421978 0.         0.16354736 0.10058043
 0.25386665 0.36320038 0.06880517]"
1998-10-30,"[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.0898505  0.         0.01551487 0.         0.05       0.
 0.29570464 0.44079322 0.10813676]","[0.26452399 0.         0.         0.         0.05       0.
 0.18132728 0.43069339 0.07345534]","[0.36798843 0.         0.         0.         0.05       0.
 0.10535854 0.42503339 0.05161964]","[0.45205652 0.         0.         0.         0.05       0.
 0.03313362 0.41480987 0.05      ]","[0.53215746 0.         0.         0.         0.05       0.
 0.         0.36784254 0.05      ]","[0.60710152 0.         0.         0.         0.05       0.
 0.         0.29289848 0.05      ]","[0.67554081 0.         0.         0.         0.05       0.
 0.         0.22445919 0.05      ]","[0.73991494 0.         0.         0.         0.05       0.
 0.         0.16008506 0.05      ]","[0.8        0.         0.         0.         0.05       0.
 0.         0.09485276 0.05514724]","[0.30969484 0.         0.         0.         0.05       0.
 0.14131779 0.43246868 0.06651869]","[0.         0.         0.07116517 0.         0.13551705 0.07726471
 0.27899034 0.36855486 0.06850787]"
