date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.00063565 0.01454298 0.03482138 0.         0.07352453 0.02322671
 0.5022477  0.2977523  0.05324876]","[0.00063565 0.01454298 0.03482138 0.         0.07352453 0.02322671
 0.5022477  0.2977523  0.05324876]","[0.05       0.         0.         0.         0.         0.05
 0.72598025 0.         0.17401975]","[0.11342264 0.         0.         0.         0.         0.05
 0.54974574 0.         0.28683162]","[0.17536109 0.         0.         0.         0.         0.05
 0.3985652  0.         0.37607371]","[0.23327503 0.         0.         0.         0.         0.05
 0.25720869 0.         0.45951628]","[0.28905042 0.         0.         0.         0.         0.05
 0.12107254 0.         0.53987704]","[0.50268614 0.         0.         0.         0.         0.05
 0.05       0.         0.39731386]","[0.66748802 0.         0.         0.         0.         0.05
 0.05       0.         0.23251198]","[0.7886687 0.        0.        0.        0.        0.05      0.05
 0.        0.1113313]",[0.8  0.   0.   0.   0.   0.1  0.   0.05 0.05],[0.8  0.   0.   0.   0.   0.1  0.   0.05 0.05],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.         0.05
 0.77518409 0.         0.12481591]","[0.00063565 0.01454298 0.03482138 0.         0.07352453 0.02322671
 0.5022477  0.2977523  0.05324876]"
1998-03-31,"[0.         0.01962052 0.0292099  0.00116958 0.08039916 0.01960084
 0.38910667 0.41089333 0.05      ]","[0.         0.01962052 0.0292099  0.00116958 0.08039916 0.01960084
 0.38910667 0.41089333 0.05      ]","[0.07424856 0.         0.         0.         0.00208751 0.04791249
 0.73059862 0.         0.14515282]","[0.15888519 0.         0.         0.         0.         0.05
 0.56368712 0.         0.22742769]","[0.23331526 0.         0.         0.         0.         0.05
 0.41719432 0.         0.29949042]","[0.30321655 0.         0.         0.         0.         0.05
 0.27961895 0.         0.3671645 ]","[0.37068493 0.         0.         0.         0.         0.05
 0.14683051 0.         0.43248456]","[0.4882316 0.        0.        0.        0.        0.05      0.05
 0.        0.4117684]","[0.64745005 0.         0.         0.         0.         0.05
 0.05       0.         0.25254995]","[0.7622226 0.        0.        0.        0.        0.05      0.05
 0.        0.1377774]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.01139262 0.03860738
 0.8        0.         0.1       ]","[0.         0.01536467 0.03463533 0.         0.0755448  0.02379214
 0.47176771 0.32823229 0.05066307]"
1998-04-30,"[0.         0.02219759 0.02780241 0.         0.08131613 0.0143416
 0.38646818 0.41353182 0.05434228]","[0.         0.02219759 0.02780241 0.         0.08131613 0.0143416
 0.38646818 0.41353182 0.05434228]","[0.08541383 0.         0.         0.         0.02106267 0.02893733
 0.71440094 0.         0.15018523]","[0.16814904 0.         0.         0.         0.01781653 0.03218347
 0.55304147 0.         0.22880949]","[0.24044879 0.         0.         0.         0.01574949 0.03425051
 0.40921997 0.         0.30033124]","[0.30928066 0.         0.         0.         0.01330953 0.03669047
 0.27382194 0.         0.36689739]","[0.37599594 0.         0.         0.         0.01103304 0.03896696
 0.14276303 0.         0.43124104]","[0.48706115 0.         0.         0.         0.         0.05
 0.05       0.         0.41293885]","[0.64147729 0.         0.         0.         0.         0.05
 0.05       0.         0.25852271]","[0.75472057 0.         0.         0.         0.         0.05
 0.05       0.         0.14527943]",[0.8  0.   0.   0.   0.   0.1  0.05 0.   0.05],[0.8  0.   0.   0.   0.   0.1  0.05 0.   0.05],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[5.00000000e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.59064956e-02 2.40935044e-02 7.99780264e-01 2.19736071e-04
 1.00000000e-01]","[0.         0.01664759 0.03335241 0.         0.07663352 0.02069668
 0.45805375 0.34194625 0.0526698 ]"
1998-05-29,"[0.0024616  0.02068424 0.02685417 0.         0.0859765  0.01397723
 0.38063456 0.41936544 0.05004627]","[0.0024616  0.02068424 0.02685417 0.         0.0859765  0.01397723
 0.38063456 0.41936544 0.05004627]","[0.10077485 0.         0.         0.         0.04163026 0.00836974
 0.73341934 0.         0.1158058 ]","[0.19042725 0.         0.         0.         0.0482321  0.0017679
 0.58056275 0.         0.17900999]","[0.27007036 0.         0.         0.         0.05       0.
 0.44469124 0.         0.2352384 ]","[0.3452464 0.        0.        0.        0.05      0.        0.3162695
 0.        0.2884841]","[0.41804925 0.         0.         0.         0.05       0.
 0.19190498 0.         0.34004576]","[0.48939136 0.         0.         0.         0.05       0.
 0.07003623 0.         0.39057241]","[0.63983724 0.         0.         0.         0.05       0.
 0.05       0.         0.26016276]","[0.75842055 0.         0.         0.         0.05       0.
 0.05       0.         0.14157945]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05071967 0.         0.         0.         0.04311402 0.00688598
 0.71725542 0.08274458 0.09928033]","[0.         0.01663817 0.03336183 0.         0.08189762 0.01615394
 0.38932864 0.41067136 0.05194843]"
1998-06-30,"[0.         0.01097089 0.03902911 0.         0.08108176 0.01337588
 0.31478697 0.48521303 0.05554236]","[0.         0.01097089 0.03902911 0.         0.08108176 0.01337588
 0.31478697 0.48521303 0.05554236]","[0.09227741 0.         0.         0.         0.02932784 0.02067216
 0.75478496 0.         0.10293762]","[0.18135157 0.         0.         0.         0.03152695 0.01847305
 0.60663597 0.         0.16201246]","[0.26061167 0.         0.         0.         0.03301182 0.01698818
 0.47451363 0.         0.2148747 ]","[0.33629512 0.         0.         0.         0.03488457 0.01511543
 0.34987216 0.         0.26383272]","[0.40888905 0.         0.         0.         0.03604605 0.01395395
 0.2285445  0.         0.31256645]","[0.47972279 0.         0.         0.         0.03695949 0.01304051
 0.10933216 0.         0.36094505]","[0.59584608 0.         0.         0.         0.02370331 0.02629669
 0.05       0.         0.30415392]","[0.71818392 0.         0.         0.         0.00380535 0.04619465
 0.05       0.         0.18181608]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],"[0.05       0.         0.         0.         0.03824688 0.01175312
 0.63689851 0.16310149 0.1       ]","[0.         0.01267397 0.03732603 0.         0.08145443 0.01652032
 0.37993918 0.42006082 0.05202525]"
1998-07-31,"[0.         0.01262872 0.03737128 0.         0.08263757 0.01334336
 0.30488098 0.49511902 0.05401907]","[0.         0.01262872 0.03737128 0.         0.08263757 0.01334336
 0.30488098 0.49511902 0.05401907]","[0.10502697 0.         0.         0.         0.05       0.
 0.76963351 0.         0.07533952]","[0.20068717 0.         0.         0.         0.05       0.
 0.6249672  0.         0.12434563]","[0.28523992 0.         0.         0.         0.05       0.
 0.49711347 0.         0.16764661]","[0.36502477 0.         0.         0.         0.05       0.
 0.37647147 0.         0.20850377]","[0.44222039 0.         0.         0.         0.05       0.
 0.25974427 0.         0.24803534]","[0.51782621 0.         0.         0.         0.05       0.
 0.14542015 0.         0.28675363]","[0.60439238 0.         0.         0.         0.05       0.
 0.05       0.         0.29560762]","[0.72990517 0.         0.         0.         0.05       0.
 0.05       0.         0.17009483]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],"[0.06113076 0.         0.         0.         0.05       0.
 0.62363624 0.17636376 0.08886924]","[0.         0.01225596 0.03774404 0.         0.08077932 0.01720052
 0.37681476 0.42318524 0.05202016]"
1998-08-31,"[0.00418887 0.         0.04581113 0.         0.0854014  0.0145986
 0.34179051 0.45820949 0.05      ]","[0.00418887 0.         0.04581113 0.         0.0854014  0.0145986
 0.34179051 0.45820949 0.05      ]","[0.11677978 0.         0.         0.         0.04447752 0.00552248
 0.78322022 0.         0.05      ]","[0.23436568 0.         0.         0.         0.04826916 0.00173084
 0.66563432 0.         0.05      ]","[0.33607363 0.         0.         0.         0.05       0.
 0.56392637 0.         0.05      ]","[0.43123938 0.         0.         0.         0.05       0.
 0.46876062 0.         0.05      ]","[0.52292822 0.         0.         0.         0.05       0.
 0.37707178 0.         0.05      ]","[0.61250448 0.         0.         0.         0.05       0.
 0.28749552 0.         0.05      ]","[0.70068725 0.         0.         0.         0.05       0.
 0.19931275 0.         0.05      ]","[0.78789932 0.         0.         0.         0.05       0.
 0.11210068 0.         0.05      ]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.1        0.         0.         0.         0.04697141 0.00302859
 0.68342615 0.11657385 0.05      ]","[0.00512719 0.00176486 0.04310795 0.         0.08295902 0.01704098
 0.37625364 0.42374636 0.05      ]"
1998-09-30,"[0.00239168 0.         0.04760832 0.         0.1        0.
 0.         0.8        0.05      ]","[0.00239168 0.         0.04760832 0.         0.1        0.
 0.         0.8        0.05      ]","[0.04248608 0.         0.02461235 0.         0.05087894 0.
 0.         0.8        0.08202263]","[0.16553526 0.         0.         0.         0.05       0.
 0.         0.73446474 0.05      ]","[0.23943685 0.         0.         0.         0.05       0.
 0.         0.66056315 0.05      ]","[0.30801632 0.         0.         0.         0.05       0.
 0.         0.59198368 0.05      ]","[0.37381345 0.         0.         0.         0.05       0.
 0.         0.52618655 0.05      ]","[0.43793921 0.         0.         0.         0.05       0.
 0.         0.46206079 0.05      ]","[0.50096886 0.         0.         0.         0.05       0.
 0.         0.39903114 0.05      ]","[0.56323609 0.         0.         0.         0.05       0.
 0.         0.33676391 0.05      ]","[0.6249495 0.        0.        0.        0.05      0.        0.
 0.2750505 0.05     ]","[0.68624687 0.         0.         0.         0.05       0.
 0.         0.21375313 0.05      ]","[0.74722325 0.         0.         0.         0.05       0.
 0.         0.15277675 0.05      ]","[0.8        0.         0.         0.         0.05       0.
 0.         0.07678372 0.07321628]",[0.1  0.   0.   0.   0.05 0.   0.   0.8  0.05],"[0.0041537  0.         0.0458463  0.         0.09868764 0.00131236
 0.02359232 0.77640768 0.05      ]"
1998-10-30,"[0.         0.         0.05       0.         0.1        0.
 0.03107247 0.76892753 0.05      ]","[0.         0.         0.05       0.         0.1        0.
 0.03107247 0.76892753 0.05      ]","[0.         0.         0.05       0.         0.1        0.
 0.03107247 0.76892753 0.05      ]","[0.14729057 0.         0.         0.         0.05       0.
 0.         0.75270943 0.05      ]","[0.22402096 0.         0.         0.         0.05       0.
 0.         0.67597904 0.05      ]","[0.29419027 0.         0.         0.         0.05       0.
 0.         0.60580973 0.05      ]","[0.36104358 0.         0.         0.         0.05       0.
 0.         0.53895642 0.05      ]","[0.42593939 0.         0.         0.         0.05       0.
 0.         0.47406061 0.05      ]","[0.48956397 0.         0.         0.         0.05       0.
 0.         0.41043603 0.05      ]","[0.55231005 0.         0.         0.         0.05       0.
 0.         0.34768995 0.05      ]","[0.61442085 0.         0.         0.         0.05       0.
 0.         0.28557915 0.05      ]","[0.67605598 0.         0.         0.         0.05       0.
 0.         0.22394402 0.05      ]","[0.73732499 0.         0.         0.         0.05       0.
 0.         0.16267501 0.05      ]","[0.79830579 0.         0.         0.         0.05       0.
 0.         0.10169421 0.05      ]",[0.1  0.   0.   0.   0.05 0.   0.   0.8  0.05],"[2.67154188e-04 0.00000000e+00 4.97328458e-02 0.00000000e+00
 1.00000000e-01 0.00000000e+00 2.36895530e-02 7.76310447e-01
 5.00000000e-02]"
