date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.03030028 0.         0.01969972 0.11569411 0.07102802
 0.33854768 0.37473019 0.05      ]","[0.         0.03030028 0.         0.01969972 0.11569411 0.07102802
 0.33854768 0.37473019 0.05      ]","[6.81897905e-02 2.37608818e-04 0.00000000e+00 0.00000000e+00
 3.00725492e-02 2.37337650e-02 7.90278454e-01 9.72154563e-03
 7.77662866e-02]","[0.23821536 0.         0.         0.         0.03480698 0.01519302
 0.59439321 0.         0.11739142]","[0.37030631 0.         0.         0.         0.04055186 0.00944814
 0.4219864  0.         0.15770728]","[0.48989439 0.         0.         0.         0.04669208 0.00330792
 0.26492664 0.         0.19517897]","[0.60489072 0.         0.         0.         0.05       0.
 0.11710674 0.         0.22800255]","[0.77963357 0.         0.         0.         0.01139366 0.03860634
 0.05       0.         0.12036643]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06771524 0.         0.         0.         0.03039156 0.02405513
 0.78853704 0.01150718 0.07779385]","[0.         0.03030028 0.         0.01969972 0.11569411 0.07102802
 0.33854768 0.37473019 0.05      ]"
1998-03-31,"[0.         0.03049892 0.         0.01950108 0.11534305 0.07005463
 0.33980024 0.37480208 0.05      ]","[0.         0.03049892 0.         0.01950108 0.11534305 0.07005463
 0.33980024 0.37480208 0.05      ]","[0.06715385 0.01672427 0.         0.         0.03247672 0.0205696
 0.79027844 0.00972156 0.06307555]","[0.23552959 0.03385707 0.         0.         0.0425267  0.0074733
 0.61498558 0.         0.06562776]","[0.36579329 0.05267712 0.         0.         0.05       0.
 0.45220505 0.         0.07932453]","[0.48410994 0.07014213 0.         0.         0.05       0.
 0.30337378 0.         0.09237415]","[0.59705786 0.08608961 0.         0.         0.05       0.
 0.16229048 0.         0.10456204]","[0.73560857 0.06439143 0.         0.         0.05       0.
 0.05       0.         0.1       ]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06952658 0.01935893 0.         0.         0.03195678 0.01804322
 0.78628555 0.01371445 0.0611145 ]","[0.         0.03038346 0.         0.01961654 0.11557157 0.07060226
 0.33851904 0.37530713 0.05      ]"
1998-04-30,"[0.         0.02961024 0.         0.02038976 0.12158664 0.07539444
 0.33937335 0.36364556 0.05      ]","[0.         0.02961024 0.         0.02038976 0.12158664 0.07539444
 0.33937335 0.36364556 0.05      ]","[0.07611105 0.01684961 0.         0.         0.03081438 0.01918562
 0.79099324 0.00900676 0.05703934]","[0.24053684 0.04017698 0.         0.         0.04219314 0.00780686
 0.61928618 0.         0.05      ]","[0.37036893 0.06360497 0.         0.         0.05       0.
 0.46550681 0.         0.05051929]","[0.48827562 0.08637705 0.         0.         0.05       0.
 0.32465192 0.         0.05069541]","[0.60504294 0.09972431 0.         0.         0.05       0.
 0.19189823 0.         0.05333452]","[0.73293968 0.06706032 0.         0.         0.05       0.
 0.05327805 0.         0.09672195]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07310398 0.0188409  0.         0.         0.03106315 0.01893685
 0.78579371 0.01420629 0.05805513]","[0.         0.03026321 0.         0.01973679 0.11898183 0.07134869
 0.33842195 0.37124754 0.05      ]"
1998-05-29,"[0.         0.02023889 0.01038955 0.01937156 0.12823895 0.07326757
 0.33673332 0.36176016 0.05      ]","[0.         0.02023889 0.01038955 0.01937156 0.12823895 0.07326757
 0.33673332 0.36176016 0.05      ]","[0.07468124 0.01831211 0.         0.         0.03088917 0.01911083
 0.78082215 0.01917785 0.05700665]","[0.23873796 0.04162471 0.         0.         0.03790077 0.01209923
 0.61963732 0.         0.05      ]","[0.3704824  0.06795024 0.         0.         0.04480381 0.00519619
 0.46039708 0.         0.05117027]","[0.49012912 0.09398752 0.         0.         0.05       0.
 0.3129323  0.         0.05295106]","[0.605794   0.11530256 0.         0.         0.05       0.
 0.17196415 0.         0.0569393 ]","[0.7648955 0.0351045 0.        0.        0.05      0.        0.05
 0.        0.1      ]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07634808 0.01946265 0.         0.         0.03019773 0.01980227
 0.77461981 0.02538019 0.05418927]","[0.         0.02310304 0.00722038 0.01967658 0.12356125 0.07035489
 0.33899043 0.36709343 0.05      ]"
1998-06-30,"[0.         0.01879126 0.01432394 0.01688481 0.13025264 0.06538614
 0.33187948 0.37248174 0.05      ]","[0.         0.01879126 0.01432394 0.01688481 0.13025264 0.06538614
 0.33187948 0.37248174 0.05      ]","[0.0816051  0.00454073 0.         0.         0.0269874  0.0230126
 0.76723389 0.03276611 0.06385417]","[0.25026561 0.0081539  0.         0.         0.0245201  0.0254799
 0.63062003 0.         0.06096046]","[0.38424069 0.01962782 0.         0.         0.02647973 0.02352027
 0.47112781 0.         0.07500369]","[0.5071845  0.02940828 0.         0.         0.02833463 0.02166537
 0.32480113 0.         0.08860609]","[0.62421746 0.0392104  0.         0.         0.02984014 0.02015986
 0.18529798 0.         0.10127416]","[0.74604238 0.03657332 0.         0.         0.03230511 0.01769489
 0.05821484 0.         0.10916945]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.08303069 0.00302027 0.         0.         0.02657859 0.02342141
 0.74974135 0.05025865 0.06394904]","[0.         0.02148925 0.01003923 0.01847152 0.1274101  0.06838377
 0.33731334 0.36689278 0.05      ]"
1998-07-31,"[0.         0.01866133 0.01539901 0.01593966 0.12810162 0.06064099
 0.33209065 0.37916674 0.05      ]","[0.         0.01866133 0.01539901 0.01593966 0.12810162 0.06064099
 0.33209065 0.37916674 0.05      ]","[0.09814303 0.         0.         0.         0.02715317 0.02284683
 0.75580773 0.04419227 0.05185697]","[0.25922058 0.00226542 0.         0.         0.02430252 0.02569748
 0.638514   0.         0.05      ]","[0.39470316 0.01502329 0.         0.         0.02461035 0.02538965
 0.48958833 0.         0.05068521]","[0.51802706 0.02616351 0.         0.         0.02502385 0.02497615
 0.3493087  0.         0.05650072]","[0.63940291 0.03335225 0.         0.         0.02570565 0.02429435
 0.22175662 0.         0.05548822]","[0.75408501 0.03756638 0.         0.         0.02488632 0.02511368
 0.08776882 0.         0.07057979]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.09939434 0.         0.         0.         0.02804189 0.02195811
 0.73345287 0.06654713 0.05060566]","[0.         0.02113976 0.0113046  0.01755564 0.12603287 0.06346462
 0.33597324 0.37452927 0.05      ]"
1998-08-31,"[0.         0.0077384  0.02532713 0.01693446 0.13355561 0.05428187
 0.34322986 0.36893265 0.05      ]","[0.         0.0077384  0.02532713 0.01693446 0.13355561 0.05428187
 0.34322986 0.36893265 0.05      ]","[0.1        0.         0.         0.         0.02565899 0.02434101
 0.74901754 0.05098246 0.05      ]","[0.25592797 0.         0.         0.         0.01604733 0.03395267
 0.64407203 0.         0.05      ]","[0.39560187 0.         0.         0.         0.01176006 0.03823994
 0.50439813 0.         0.05      ]","[0.52394561 0.         0.         0.         0.00785349 0.04214651
 0.37605439 0.         0.05      ]","[0.64650446 0.         0.         0.         0.00412598 0.04587402
 0.25349554 0.         0.05      ]","[7.65542805e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.27779301e-04 4.97722207e-02 1.34457195e-01 0.00000000e+00
 5.00000000e-02]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.1        0.         0.         0.         0.02316569 0.02683431
 0.75533765 0.04466235 0.05      ]","[0.         0.00925677 0.02296399 0.01777924 0.13312163 0.05661885
 0.33528358 0.37497594 0.05      ]"
1998-09-30,"[0.         0.00130029 0.03082834 0.01787137 0.14980732 0.04179595
 0.1513638  0.55703293 0.05      ]","[0.         0.00130029 0.03082834 0.01787137 0.14980732 0.04179595
 0.1513638  0.55703293 0.05      ]","[0.06938444 0.         0.0019342  0.         0.05349216 0.
 0.35453894 0.44546106 0.0751892 ]","[0.17571387 0.         0.         0.         0.04441968 0.00558032
 0.52001565 0.20427048 0.05      ]","[0.2844678 0.        0.        0.        0.0413403 0.0086597 0.5045352
 0.110997  0.05     ]","[0.38011854 0.         0.         0.         0.03899087 0.01100913
 0.51988146 0.         0.05      ]","[0.4922238  0.         0.         0.         0.03561944 0.01438056
 0.4077762  0.         0.05      ]","[0.59849588 0.         0.         0.         0.03246095 0.01753905
 0.30150412 0.         0.05      ]","[0.70119267 0.         0.         0.         0.02940864 0.02059136
 0.19880733 0.         0.05      ]","[0.8        0.         0.         0.         0.01839276 0.03160724
 0.1        0.         0.05      ]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.09264566 0.         0.         0.         0.05       0.
 0.38834771 0.41165229 0.05735434]","[0.         0.00302976 0.0290768  0.01789344 0.14752346 0.04398932
 0.18399263 0.52449459 0.05      ]"
1998-10-30,"[0.         0.         0.04074723 0.00925277 0.14297661 0.02774406
 0.17567522 0.55360411 0.05      ]","[0.         0.         0.04074723 0.00925277 0.14297661 0.02774406
 0.17567522 0.55360411 0.05      ]","[7.55566287e-02 0.00000000e+00 9.57170095e-04 0.00000000e+00
 6.80706024e-02 2.95608618e-04 3.53952214e-01 4.46047786e-01
 5.51199902e-02]","[0.18461605 0.         0.         0.         0.04905543 0.00094457
 0.44930627 0.26607768 0.05      ]","[0.28800606 0.         0.         0.         0.04724817 0.00275183
 0.46719257 0.14480137 0.05      ]","[0.38391175 0.         0.         0.         0.04668294 0.00331706
 0.4839908  0.03209745 0.05      ]","[0.48852884 0.         0.         0.         0.04762465 0.00237536
 0.41147115 0.         0.05      ]","[0.59320715 0.         0.         0.         0.04889304 0.00110696
 0.30679285 0.         0.05      ]","[0.69426631 0.         0.         0.         0.05       0.
 0.20573369 0.         0.05      ]","[0.7927786 0.        0.        0.        0.05      0.        0.1072214
 0.        0.05     ]",[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[0.8  0.   0.   0.   0.   0.05 0.05 0.   0.1 ],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.1        0.         0.         0.         0.05       0.
 0.36674228 0.43325772 0.05      ]","[0.         0.         0.03988756 0.01011244 0.14748655 0.03108383
 0.18431858 0.53711104 0.05      ]"
