date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]","[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]","[0.02900393 0.0156173  0.         0.02964466 0.02668922 0.03196902
 0.13481856 0.6934721  0.03878522]","[0.14702164 0.01376299 0.         0.03855478 0.         0.
 0.19777299 0.52628558 0.07660203]","[0.25646324 0.01110106 0.         0.04567809 0.         0.
 0.24502138 0.32909091 0.11264532]","[0.35165497 0.00788209 0.         0.05239662 0.         0.
 0.2872489  0.15989912 0.1409183 ]","[0.43926855 0.005228   0.         0.05876127 0.         0.
 0.32619495 0.00267901 0.16786822]","[0.57489029 0.00942748 0.         0.06565559 0.         0.
 0.17682739 0.         0.17319926]","[0.68963109 0.01560132 0.         0.07118505 0.         0.
 0.03722561 0.         0.18635691]","[0.84121144 0.01663523 0.         0.06542122 0.         0.
 0.         0.         0.07673211]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04547902 0.01452174 0.         0.03104808 0.00288003 0.0234317
 0.14969821 0.6883556  0.04458562]","[0.         0.00877312 0.         0.02266483 0.12755343 0.06722834
 0.06730684 0.69325658 0.01321686]"
1998-03-31,"[0.         0.01061448 0.         0.02271273 0.12903145 0.06767978
 0.07108329 0.68451436 0.01436392]","[0.         0.01061448 0.         0.02271273 0.12903145 0.06767978
 0.07108329 0.68451436 0.01436392]","[0.03689322 0.0164868  0.         0.03242091 0.03060766 0.03178873
 0.13372409 0.68228277 0.03579583]","[0.15435858 0.01229272 0.         0.04473255 0.         0.
 0.1888296  0.5346253  0.06516124]","[0.26702416 0.00806326 0.         0.05527822 0.         0.
 0.2290434  0.34611915 0.0944718 ]","[0.36337056 0.00361488 0.         0.06541082 0.         0.
 0.26447387 0.18392757 0.1192023 ]","[0.45304652 0.         0.         0.07458989 0.         0.
 0.29713115 0.03400248 0.14122997]","[0.57432179 0.         0.         0.08635302 0.         0.
 0.19872109 0.         0.1406041 ]","[6.89335150e-01 4.22075770e-04 0.00000000e+00 9.76092176e-02
 0.00000000e+00 0.00000000e+00 6.71391888e-02 0.00000000e+00
 1.45494368e-01]","[0.81657321 0.         0.         0.10513743 0.         0.
 0.         0.         0.07828936]","[0.987005 0.       0.       0.012995 0.       0.       0.       0.
 0.      ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05428336 0.01519499 0.         0.03443447 0.00804221 0.02342511
 0.14708403 0.67697862 0.04055721]","[0.         0.01061448 0.         0.02271273 0.12903145 0.06767978
 0.07108329 0.68451436 0.01436392]"
1998-04-30,"[0.         0.01007652 0.         0.02240153 0.13183908 0.06615439
 0.0683203  0.68743535 0.01377284]","[0.         0.01007652 0.         0.02240153 0.13183908 0.06615439
 0.0683203  0.68743535 0.01377284]","[0.04500639 0.00841955 0.         0.02754588 0.02784174 0.02885704
 0.13656245 0.6936218  0.03214516]","[0.17681883 0.         0.         0.03370493 0.         0.
 0.19645413 0.53600452 0.05701759]","[0.2932465  0.         0.         0.03880341 0.         0.
 0.23930329 0.35246901 0.07617778]","[0.39336916 0.         0.         0.04312873 0.         0.
 0.27601259 0.1946763  0.09281322]","[0.48624655 0.         0.         0.04739402 0.         0.
 0.31018107 0.04819075 0.10798761]","[0.60472042 0.         0.         0.05210375 0.         0.
 0.23126534 0.         0.1119105 ]","[0.72488022 0.         0.         0.05742696 0.         0.
 0.10748674 0.         0.11020608]","[0.84017344 0.         0.         0.05863266 0.         0.
 0.         0.         0.1011939 ]","[0.99140241 0.         0.         0.00859759 0.         0.
 0.         0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07296255 0.00434784 0.         0.02874281 0.         0.01626678
 0.15617463 0.68354234 0.03796305]","[0.         0.01007652 0.         0.02240153 0.13183908 0.06615439
 0.0683203  0.68743535 0.01377284]"
1998-05-29,"[0.         0.00899603 0.         0.02202789 0.1296203  0.06553029
 0.06653767 0.69204054 0.01524728]","[0.         0.00899603 0.         0.02202789 0.1296203  0.06553029
 0.06653767 0.69204054 0.01524728]","[0.04787156 0.00828329 0.         0.0256117  0.02662585 0.02505462
 0.13396899 0.70572877 0.02685522]","[0.18651713 0.         0.         0.02981421 0.         0.
 0.19252284 0.54628664 0.04485918]","[0.3074817  0.         0.         0.03206123 0.         0.
 0.2345099  0.36959483 0.05635234]","[0.41127809 0.         0.         0.03432532 0.         0.
 0.26998042 0.21705508 0.0673611 ]","[0.50726646 0.         0.         0.03715855 0.         0.
 0.30376267 0.07470436 0.07710796]","[0.61963634 0.         0.         0.03958177 0.         0.
 0.26608398 0.         0.07469792]","[0.74260975 0.         0.         0.04163014 0.         0.
 0.14649076 0.         0.06926935]","[0.85731293 0.         0.         0.04303275 0.         0.
 0.03835676 0.         0.06129756]","[0.99124881 0.         0.         0.00875119 0.         0.
 0.         0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07243005 0.00463857 0.         0.02615581 0.         0.01336394
 0.15149149 0.70201576 0.02990437]","[0.         0.00899603 0.         0.02202789 0.1296203  0.06553029
 0.06653767 0.69204054 0.01524728]"
1998-06-30,"[0.         0.01060032 0.         0.02075466 0.12723898 0.06428044
 0.06370058 0.69943389 0.01399114]","[0.         0.01060032 0.         0.02075466 0.12723898 0.06428044
 0.06370058 0.69943389 0.01399114]","[0.03867019 0.0122222  0.         0.02174511 0.01644246 0.021443
 0.1316348  0.73063055 0.0272117 ]","[0.19095173 0.         0.         0.01958319 0.         0.
 0.18999565 0.5471445  0.05232494]","[0.31169501 0.         0.         0.01627565 0.         0.
 0.22920933 0.37332356 0.06949644]","[0.41601206 0.         0.         0.01401569 0.         0.
 0.26325496 0.22243215 0.08428513]","[0.5132334  0.         0.         0.01237091 0.         0.
 0.29335997 0.08284092 0.0981948 ]","[0.62379709 0.         0.         0.00779164 0.         0.
 0.26541815 0.         0.10299312]","[0.74925718 0.         0.         0.         0.         0.
 0.14933068 0.         0.10141215]","[0.86401395 0.         0.         0.         0.         0.
 0.0387087  0.         0.09727736]","[0.98813739 0.         0.         0.         0.         0.
 0.         0.         0.01186261]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.05965542 0.00978214 0.         0.02151044 0.         0.01045229
 0.1445264  0.72342841 0.0306449 ]","[0.         0.01060032 0.         0.02075466 0.12723898 0.06428044
 0.06370058 0.69943389 0.01399114]"
1998-07-31,"[0.         0.01049185 0.         0.02181726 0.12599789 0.0628038
 0.06178688 0.70250976 0.01459256]","[0.         0.01049185 0.         0.02181726 0.12599789 0.0628038
 0.06178688 0.70250976 0.01459256]","[0.04675548 0.00984743 0.         0.0180089  0.01602466 0.01772845
 0.13767629 0.72755754 0.02640125]","[0.20094646 0.         0.         0.00977843 0.         0.
 0.20420881 0.54170655 0.04335975]","[0.32280287 0.         0.         0.0024481  0.         0.
 0.24938538 0.37112793 0.05423572]","[0.42800532 0.         0.         0.         0.         0.
 0.28774364 0.2209812  0.06326984]","[0.52537989 0.         0.         0.         0.         0.
 0.32325377 0.07985838 0.07150796]","[0.63663812 0.         0.         0.         0.         0.
 0.29465267 0.         0.06870921]","[0.76084189 0.         0.         0.         0.         0.
 0.18126362 0.         0.05789449]","[0.87606391 0.         0.         0.         0.         0.
 0.0777109  0.         0.04622519]","[0.98967047 0.         0.         0.         0.         0.
 0.         0.         0.01032953]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06665439 0.00698845 0.         0.01690567 0.         0.00781362
 0.15114668 0.72162584 0.02886535]","[0.         0.01049185 0.         0.02181726 0.12599789 0.0628038
 0.06178688 0.70250976 0.01459256]"
1998-08-31,"[0.         0.00747533 0.         0.02247078 0.12350963 0.06098635
 0.06392747 0.70595751 0.01567293]","[0.         0.00747533 0.         0.02247078 0.12350963 0.06098635
 0.06392747 0.70595751 0.01567293]","[0.04562386 0.00283492 0.         0.02117235 0.01089942 0.01581216
 0.14001876 0.74407932 0.0195592 ]","[0.2067143  0.         0.         0.01450642 0.         0.
 0.20651886 0.55202641 0.02023401]","[0.33015677 0.         0.         0.00953633 0.         0.
 0.25348378 0.38597819 0.02084493]","[0.43812877 0.         0.         0.0049347  0.         0.
 0.29448922 0.24163978 0.02080754]","[0.53891118 0.         0.         0.00075075 0.         0.
 0.33276987 0.10680349 0.02076471]","[0.64204293 0.         0.         0.         0.         0.
 0.3420781  0.         0.01587896]","[0.7671733  0.         0.         0.         0.         0.
 0.23202575 0.         0.00080095]","[0.88158554 0.         0.         0.         0.         0.
 0.11841446 0.         0.        ]","[0.98987183 0.         0.         0.         0.         0.
 0.01012817 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06628159 0.         0.         0.02046352 0.         0.00521457
 0.15233017 0.73494882 0.02076132]","[0.         0.00747533 0.         0.02247078 0.12350963 0.06098635
 0.06392747 0.70595751 0.01567293]"
1998-09-30,"[0.         0.00337095 0.         0.02082398 0.12300702 0.06068742
 0.05872123 0.72174454 0.01164487]","[0.         0.00337095 0.         0.02082398 0.12300702 0.06068742
 0.05872123 0.72174454 0.01164487]","[2.48500995e-02 0.00000000e+00 0.00000000e+00 1.64247648e-02
 4.48425462e-04 1.15081952e-02 1.20118875e-01 8.15086235e-01
 1.15634056e-02]","[2.01318875e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.54499629e-01 6.44035220e-01
 1.46275580e-04]","[0.32024304 0.         0.         0.         0.         0.
 0.16971233 0.51004462 0.        ]","[0.42333948 0.         0.         0.         0.         0.
 0.18290422 0.39375629 0.        ]","[0.51936051 0.         0.         0.         0.         0.
 0.19519389 0.2854456  0.        ]","[0.61142097 0.         0.         0.         0.         0.
 0.20696431 0.18161472 0.        ]","[0.70098787 0.         0.         0.         0.         0.
 0.21841153 0.08060061 0.        ]","[0.7929303 0.        0.        0.        0.        0.        0.2070697
 0.        0.       ]","[0.89828311 0.         0.         0.         0.         0.
 0.10171689 0.         0.        ]","[9.99095489e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.04510596e-04 0.00000000e+00
 0.00000000e+00]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.03735546 0.         0.         0.0150721  0.         0.0024522
 0.12379917 0.81027837 0.01104269]","[0.         0.00337095 0.         0.02082398 0.12300702 0.06068742
 0.05872123 0.72174454 0.01164487]"
1998-10-30,"[0.         0.00135751 0.         0.02004972 0.11700889 0.05167875
 0.0706317  0.73213852 0.00713492]","[0.         0.00135751 0.         0.02004972 0.11700889 0.05167875
 0.0706317  0.73213852 0.00713492]","[0.02913152 0.         0.         0.01569363 0.00586515 0.00941976
 0.12109225 0.80269659 0.0161011 ]","[0.19929953 0.         0.         0.         0.         0.
 0.14250199 0.64090677 0.01729171]","[0.31833855 0.         0.         0.         0.         0.
 0.15357815 0.51214664 0.01593666]","[0.42160588 0.         0.         0.         0.         0.
 0.16352562 0.39986346 0.01500504]","[0.51775379 0.         0.         0.         0.         0.
 0.17284865 0.29495336 0.0144442 ]","[0.61114982 0.         0.         0.         0.         0.
 0.16292876 0.20468761 0.02123381]","[0.71011629 0.         0.         0.         0.         0.
 0.13496987 0.14803541 0.00687842]","[0.78890891 0.         0.         0.         0.         0.
 0.19581396 0.00490209 0.01037504]","[8.93031170e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.06327595e-01 0.00000000e+00
 6.41235241e-04]","[0.99277586 0.         0.         0.         0.         0.
 0.00722414 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.03753718 0.         0.         0.01473797 0.         0.00447406
 0.12380646 0.80317814 0.01626619]","[0.         0.00135751 0.         0.02004972 0.11700889 0.05167875
 0.0706317  0.73213852 0.00713492]"
