date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.00767265 0.         0.         0.02939555 0.14835816 0.10423625
 0.28714954 0.31070254 0.11248531]","[0.00767265 0.         0.         0.02939555 0.14835816 0.10423625
 0.28714954 0.31070254 0.11248531]","[0.00767265 0.         0.         0.02939555 0.14835816 0.10423625
 0.28714954 0.31070254 0.11248531]","[0.06946549 0.01468119 0.         0.         0.02905805 0.05356515
 0.33460806 0.28777909 0.21084297]","[0.17448418 0.00086789 0.         0.         0.         0.
 0.3166365  0.18270077 0.32531066]","[0.25796659 0.         0.         0.         0.         0.
 0.2692454  0.06078019 0.41200782]","[0.3339001  0.         0.         0.         0.         0.
 0.17850032 0.         0.48759957]","[0.40418496 0.         0.         0.         0.         0.
 0.03505366 0.         0.56076138]","[0.64615065 0.         0.         0.         0.         0.
 0.         0.         0.35384935]","[0.78428641 0.         0.         0.         0.         0.
 0.         0.         0.21571359]","[0.89252093 0.         0.         0.         0.         0.
 0.         0.         0.10747907]","[0.98777709 0.         0.         0.         0.         0.
 0.         0.         0.01222291]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.20561932 0.         0.         0.         0.         0.
 0.29993422 0.13719788 0.35724858]","[0.00767265 0.         0.         0.02939555 0.14835816 0.10423625
 0.28714954 0.31070254 0.11248531]"
1998-03-31,"[0.0048206  0.         0.         0.03998491 0.14539627 0.09457328
 0.29179    0.32551346 0.09792148]","[0.0048206  0.         0.         0.03998491 0.14539627 0.09457328
 0.29179    0.32551346 0.09792148]","[0.0048206  0.         0.         0.03998491 0.14539627 0.09457328
 0.29179    0.32551346 0.09792148]","[0.07749472 0.02283875 0.00534685 0.         0.03155637 0.03222792
 0.33649891 0.31152422 0.18251226]","[0.20420824 0.00605455 0.         0.         0.         0.
 0.30681342 0.19815313 0.28477066]","[0.30142613 0.         0.         0.         0.         0.
 0.25704349 0.08574632 0.35578406]","[0.38364232 0.         0.         0.         0.         0.
 0.20502365 0.         0.41133403]","[0.46888826 0.         0.         0.         0.         0.
 0.06580018 0.         0.46531156]","[0.61615222 0.         0.         0.         0.         0.
 0.         0.         0.38384778]","[0.75161431 0.         0.         0.         0.         0.
 0.         0.         0.24838569]","[0.85542641 0.         0.         0.         0.         0.
 0.         0.         0.14457359]","[0.94612716 0.         0.         0.         0.         0.
 0.         0.         0.05387284]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.23484172 0.         0.         0.         0.         0.
 0.29392971 0.16494793 0.30628065]","[0.0048206  0.         0.         0.03998491 0.14539627 0.09457328
 0.29179    0.32551346 0.09792148]"
1998-04-30,"[0.0036198  0.         0.         0.03435981 0.14042082 0.08439574
 0.29943175 0.33569365 0.10207844]","[0.0036198  0.         0.         0.03435981 0.14042082 0.08439574
 0.29943175 0.33569365 0.10207844]","[0.0036198  0.         0.         0.03435981 0.14042082 0.08439574
 0.29943175 0.33569365 0.10207844]","[0.08284132 0.01924534 0.         0.         0.0298634  0.00992657
 0.34236743 0.32334224 0.19241371]","[0.21586918 0.         0.         0.         0.         0.
 0.29526173 0.19414715 0.29472194]","[0.30765808 0.         0.         0.         0.         0.
 0.24592532 0.08558928 0.36082732]","[0.38708618 0.         0.         0.         0.         0.
 0.19668191 0.         0.41623191]","[0.47142518 0.         0.         0.         0.         0.
 0.0601116  0.         0.46846323]","[0.61736892 0.         0.         0.         0.         0.
 0.         0.         0.38263108]","[0.748434 0.       0.       0.       0.       0.       0.       0.
 0.251566]","[0.8504363 0.        0.        0.        0.        0.        0.
 0.        0.1495637]","[0.94000309 0.         0.         0.         0.         0.
 0.         0.         0.05999691]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.22744863 0.         0.         0.         0.         0.
 0.28959095 0.1790542  0.30390622]","[0.0036198  0.         0.         0.03435981 0.14042082 0.08439574
 0.29943175 0.33569365 0.10207844]"
1998-05-29,"[0.00675874 0.         0.         0.03006972 0.1446317  0.08008806
 0.30068166 0.33960429 0.09816582]","[0.00675874 0.         0.         0.03006972 0.1446317  0.08008806
 0.30068166 0.33960429 0.09816582]","[0.00675874 0.         0.         0.03006972 0.1446317  0.08008806
 0.30068166 0.33960429 0.09816582]","[0.09579605 0.00404235 0.         0.         0.04097509 0.
 0.34763643 0.33448873 0.17706136]","[0.22753808 0.         0.         0.         0.         0.
 0.30456492 0.21131437 0.25658262]","[0.32648697 0.         0.         0.         0.         0.
 0.25610981 0.10769187 0.30971135]","[0.41033575 0.         0.         0.         0.         0.
 0.21510442 0.0200791  0.35448074]","[0.49815476 0.         0.         0.         0.         0.
 0.10752735 0.         0.39431789]","[0.59278015 0.         0.         0.         0.         0.
 0.         0.         0.40721985]","[0.73916138 0.         0.         0.         0.         0.
 0.         0.         0.26083862]","[0.84585445 0.         0.         0.         0.         0.
 0.         0.         0.15414555]","[0.93771635 0.         0.         0.         0.         0.
 0.         0.         0.06228365]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.22688854 0.         0.         0.         0.         0.
 0.3048403  0.2117717  0.25649945]","[0.00675874 0.         0.         0.03006972 0.1446317  0.08008806
 0.30068166 0.33960429 0.09816582]"
1998-06-30,"[0.         0.         0.         0.00937427 0.12808198 0.06104903
 0.3299206  0.38006069 0.09151342]","[0.         0.         0.         0.00937427 0.12808198 0.06104903
 0.3299206  0.38006069 0.09151342]","[0.         0.         0.         0.00937427 0.12808198 0.06104903
 0.3299206  0.38006069 0.09151342]","[0.07473541 0.         0.         0.         0.         0.
 0.38613642 0.36932113 0.16980704]","[0.21809925 0.         0.         0.         0.         0.
 0.31637298 0.2210953  0.24443247]","[0.31185583 0.         0.         0.         0.         0.
 0.27035646 0.12445729 0.29333043]","[0.39325631 0.         0.         0.         0.         0.
 0.22839753 0.04212804 0.33621813]","[0.47519419 0.         0.         0.         0.         0.
 0.15006442 0.         0.37474139]","[0.55718205 0.         0.         0.         0.         0.
 0.03235554 0.         0.41046241]","[0.69173495 0.         0.         0.         0.         0.
 0.         0.         0.30826505]","[0.80638576 0.         0.         0.         0.         0.
 0.         0.         0.19361424]","[0.90213278 0.         0.         0.         0.         0.
 0.         0.         0.09786722]","[0.98828885 0.         0.         0.         0.         0.
 0.         0.         0.01171115]",[1 0 0 0 0 0 0 0 0],"[0.16942956 0.         0.         0.         0.         0.
 0.34007126 0.27127115 0.21922803]","[0.         0.         0.         0.00937427 0.12808198 0.06104903
 0.3299206  0.38006069 0.09151342]"
1998-07-31,"[0.         0.         0.         0.00654302 0.12738789 0.05787514
 0.33348648 0.38574726 0.08896021]","[0.         0.         0.         0.00654302 0.12738789 0.05787514
 0.33348648 0.38574726 0.08896021]","[0.         0.         0.         0.00654302 0.12738789 0.05787514
 0.33348648 0.38574726 0.08896021]","[0.08713734 0.         0.         0.         0.         0.
 0.38542064 0.36808383 0.15935819]","[0.23296654 0.         0.         0.         0.         0.
 0.32119724 0.22909    0.21674621]","[0.33132151 0.         0.         0.         0.         0.
 0.27750645 0.13513198 0.25604006]","[0.41720996 0.         0.         0.         0.         0.
 0.23767386 0.0545451  0.29057107]","[0.50108336 0.         0.         0.         0.         0.
 0.17829758 0.         0.32061905]","[0.58745897 0.         0.         0.         0.         0.
 0.06523351 0.         0.34730752]","[0.69289263 0.         0.         0.         0.         0.
 0.         0.         0.30710737]","[0.80668936 0.         0.         0.         0.         0.
 0.         0.         0.19331064]","[0.90162872 0.         0.         0.         0.         0.
 0.         0.         0.09837128]","[0.98701609 0.         0.         0.         0.         0.
 0.         0.         0.01298391]",[1 0 0 0 0 0 0 0 0],"[0.19763379 0.         0.         0.         0.         0.
 0.33688841 0.26233529 0.20314252]","[0.         0.         0.         0.00654302 0.12738789 0.05787514
 0.33348648 0.38574726 0.08896021]"
1998-08-31,"[0.         0.         0.01585376 0.02108519 0.12339768 0.06463875
 0.33367202 0.37602564 0.06532696]","[0.         0.         0.01585376 0.02108519 0.12339768 0.06463875
 0.33367202 0.37602564 0.06532696]","[0.         0.         0.01585376 0.02108519 0.12339768 0.06463875
 0.33367202 0.37602564 0.06532696]","[0.06598391 0.         0.03061896 0.         0.03896828 0.00308433
 0.37813369 0.38069997 0.10251087]","[0.25221924 0.         0.         0.         0.         0.
 0.35540227 0.27188684 0.12049165]","[0.37459946 0.         0.         0.         0.         0.
 0.31930647 0.18133165 0.12476242]","[0.47676333 0.         0.         0.         0.         0.
 0.28917845 0.10574785 0.12831037]","[0.57007416 0.         0.         0.         0.         0.
 0.2616474  0.03669149 0.13158695]","[0.66356328 0.         0.         0.         0.         0.
 0.206739   0.         0.12969772]","[0.75757306 0.         0.         0.         0.         0.
 0.11986364 0.         0.12256331]","[0.84704369 0.         0.         0.         0.         0.
 0.03718355 0.         0.11577275]","[0.94131835 0.         0.         0.         0.         0.
 0.         0.         0.05868165]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29057336 0.         0.         0.         0.         0.
 0.34400281 0.24366755 0.12175627]","[0.         0.         0.01585376 0.02108519 0.12339768 0.06463875
 0.33367202 0.37602564 0.06532696]"
1998-09-30,"[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]","[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]","[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]","[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]","[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]","[0.0981637  0.         0.01189934 0.         0.01194222 0.
 0.30822683 0.46133897 0.10842894]","[0.26805935 0.         0.         0.         0.         0.
 0.22315517 0.45570283 0.05308264]","[0.37711892 0.         0.         0.         0.         0.
 0.16171021 0.44788931 0.01328156]","[0.46795311 0.         0.         0.         0.         0.
 0.09724187 0.43480503 0.        ]","[0.54898124 0.         0.         0.         0.         0.
 0.03181379 0.41920497 0.        ]","[0.62619786 0.         0.         0.         0.         0.
 0.         0.37380214 0.        ]","[0.69879499 0.         0.         0.         0.         0.
 0.         0.30120501 0.        ]","[0.76639126 0.         0.         0.         0.         0.
 0.         0.23360874 0.        ]","[0.83065723 0.         0.         0.         0.         0.
 0.         0.16934277 0.        ]","[0.29180459 0.         0.         0.         0.         0.
 0.20977368 0.45397442 0.0444473 ]","[0.         0.         0.032631   0.         0.171587   0.10345563
 0.25516659 0.36009479 0.07706498]"
1998-10-30,"[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]","[0.08521135 0.         0.01995064 0.         0.0450865  0.
 0.29908987 0.440999   0.10966264]","[0.2425473  0.         0.         0.         0.         0.
 0.2110729  0.45467819 0.09170162]","[0.3540661  0.         0.         0.         0.         0.
 0.12713191 0.45000132 0.06880067]","[0.44425604 0.         0.         0.         0.         0.
 0.05963846 0.44620847 0.04989704]","[0.52513894 0.         0.         0.         0.         0.
 0.         0.44189106 0.03297   ]","[0.6094511 0.        0.        0.        0.        0.        0.
 0.3905489 0.       ]","[0.68348812 0.         0.         0.         0.         0.
 0.         0.31651188 0.        ]","[0.75173616 0.         0.         0.         0.         0.
 0.         0.24826384 0.        ]","[0.81622172 0.         0.         0.         0.         0.
 0.         0.18377828 0.        ]","[0.29985338 0.         0.         0.         0.         0.
 0.16725207 0.45192858 0.08096597]","[0.         0.         0.0726406  0.         0.12974924 0.07520757
 0.28251908 0.37186926 0.06801426]"
