date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.         0.         0.         0.11743752 0.06029275
 0.36624428 0.44426967 0.01175578]","[0.         0.         0.         0.         0.11743752 0.06029275
 0.36624428 0.44426967 0.01175578]","[0.00370095 0.         0.         0.         0.         0.
 0.92114786 0.         0.07515119]","[0.18329655 0.         0.         0.         0.         0.
 0.67718353 0.         0.13951992]","[0.32083594 0.         0.         0.         0.         0.
 0.49034498 0.         0.18881908]","[0.44508804 0.         0.         0.         0.         0.
 0.32156665 0.         0.23334531]","[0.56281681 0.         0.         0.         0.         0.
 0.16164852 0.         0.27553467]","[0.6767392 0.        0.        0.        0.        0.        0.006901
 0.        0.3163598]","[0.89810971 0.         0.         0.         0.         0.
 0.         0.         0.10189029]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.93589107 0.         0.06410893]","[0.         0.         0.         0.         0.11743752 0.06029275
 0.36624428 0.44426967 0.01175578]"
1998-03-31,"[0.         0.         0.         0.         0.11406425 0.05575934
 0.36971817 0.44665064 0.01380759]","[0.         0.         0.         0.         0.11406425 0.05575934
 0.36971817 0.44665064 0.01380759]","[0.02100085 0.         0.         0.         0.         0.
 0.92383689 0.         0.05516225]","[0.20582088 0.         0.         0.         0.         0.
 0.69250273 0.         0.10167638]","[0.3465234  0.         0.         0.         0.         0.
 0.51639845 0.         0.13707815]","[0.47345004 0.         0.         0.         0.         0.
 0.35752675 0.         0.16902321]","[0.59363954 0.         0.         0.         0.         0.
 0.20708508 0.         0.19927538]","[0.70990384 0.         0.         0.         0.         0.
 0.06155822 0.         0.22853794]","[0.86374116 0.         0.         0.         0.         0.
 0.         0.         0.13625884]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.01356794 0.         0.         0.         0.         0.
 0.93304515 0.         0.0533869 ]","[0.         0.         0.         0.         0.11406425 0.05575934
 0.36971817 0.44665064 0.01380759]"
1998-04-30,"[0.         0.         0.         0.         0.11660701 0.05588548
 0.36317725 0.43942379 0.02490646]","[0.         0.         0.         0.         0.11660701 0.05588548
 0.36317725 0.43942379 0.02490646]","[0.02795145 0.         0.         0.         0.         0.
 0.92658922 0.         0.04545933]","[0.21637407 0.         0.         0.         0.         0.
 0.70957432 0.         0.07405161]","[0.35985998 0.         0.         0.         0.         0.
 0.54420306 0.         0.09593696]","[0.4893042  0.         0.         0.         0.         0.
 0.39497614 0.         0.11571967]","[0.61189015 0.         0.         0.         0.         0.
 0.25368335 0.         0.1344265 ]","[0.73047579 0.         0.         0.         0.         0.
 0.11700381 0.         0.15252039]","[0.85216757 0.         0.         0.         0.         0.
 0.         0.         0.14783243]","[0.99161278 0.         0.         0.         0.         0.
 0.         0.         0.00838722]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.02744914 0.         0.         0.         0.         0.
 0.92733232 0.         0.04521854]","[0.         0.         0.         0.         0.11660701 0.05588548
 0.36317725 0.43942379 0.02490646]"
1998-05-29,"[0.         0.         0.         0.         0.12080455 0.05590247
 0.36342296 0.44188584 0.01798418]","[0.         0.         0.         0.         0.12080455 0.05590247
 0.36342296 0.44188584 0.01798418]","[0.02601956 0.         0.         0.         0.         0.
 0.92924046 0.         0.04473998]","[0.21754244 0.         0.         0.         0.         0.
 0.69923516 0.         0.0832224 ]","[0.36352892 0.         0.         0.         0.         0.
 0.523803   0.         0.11266808]","[0.49526382 0.         0.         0.         0.         0.
 0.36548847 0.         0.13924772]","[0.62002674 0.         0.         0.         0.         0.
 0.21555795 0.         0.16441531]","[0.74072553 0.         0.         0.         0.         0.
 0.07051616 0.         0.18875831]","[0.87917284 0.         0.         0.         0.         0.
 0.         0.         0.12082716]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05186037 0.         0.         0.         0.         0.
 0.89833233 0.         0.0498073 ]","[0.         0.         0.         0.         0.12080455 0.05590247
 0.36342296 0.44188584 0.01798418]"
1998-06-30,"[0.         0.         0.         0.         0.11914176 0.0518987
 0.36673326 0.44939823 0.01282804]","[0.         0.         0.         0.         0.11914176 0.0518987
 0.36673326 0.44939823 0.01282804]","[0.02164912 0.         0.         0.         0.         0.
 0.9282469  0.         0.05010398]","[0.20843846 0.         0.         0.         0.         0.
 0.69614205 0.         0.09541949]","[0.35086047 0.         0.         0.         0.         0.
 0.51901882 0.         0.13012071]","[0.47935407 0.         0.         0.         0.         0.
 0.35908118 0.         0.16156476]","[0.60107123 0.         0.         0.         0.         0.
 0.20764574 0.         0.19128303]","[0.71882854 0.         0.         0.         0.         0.
 0.06114802 0.         0.22002344]","[0.86329971 0.         0.         0.         0.         0.
 0.         0.         0.13670029]","[0.99820357 0.         0.         0.         0.         0.
 0.         0.         0.00179643]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.03439071 0.         0.         0.         0.         0.
 0.91243266 0.         0.05317663]","[0.         0.         0.         0.         0.11914176 0.0518987
 0.36673326 0.44939823 0.01282804]"
1998-07-31,"[0.         0.         0.         0.         0.11870557 0.04645232
 0.36724283 0.45157634 0.01602294]","[0.         0.         0.         0.         0.11870557 0.04645232
 0.36724283 0.45157634 0.01602294]","[0.03211761 0.         0.         0.         0.         0.
 0.92489307 0.         0.04298932]","[0.21573909 0.         0.         0.         0.         0.
 0.70726766 0.         0.07699325]","[0.35875395 0.         0.         0.         0.         0.
 0.53769221 0.         0.10355385]","[0.4884886  0.         0.         0.         0.         0.
 0.38388525 0.         0.12762614]","[0.61163946 0.         0.         0.         0.         0.
 0.23787867 0.         0.15048188]","[0.73093157 0.         0.         0.         0.         0.
 0.09644405 0.         0.17262438]","[0.86016714 0.         0.         0.         0.         0.
 0.         0.         0.13983286]","[0.99467802 0.         0.         0.         0.         0.
 0.         0.         0.00532198]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05855592 0.         0.         0.         0.         0.
 0.89358819 0.         0.04785589]","[0.         0.         0.         0.         0.11870557 0.04645232
 0.36724283 0.45157634 0.01602294]"
1998-08-31,"[0.         0.         0.         0.         0.12777472 0.03906905
 0.37417731 0.45592305 0.00305587]","[0.         0.         0.         0.         0.12777472 0.03906905
 0.37417731 0.45592305 0.00305587]","[0.03592292 0.         0.         0.         0.         0.
 0.95053662 0.         0.01354046]","[0.22328881 0.         0.         0.         0.         0.
 0.7601121  0.         0.0165991 ]","[0.36938652 0.         0.         0.         0.         0.
 0.60968705 0.         0.02092643]","[0.50211597 0.         0.         0.         0.         0.
 0.47403193 0.         0.0238521 ]","[0.62815064 0.         0.         0.         0.         0.
 0.3452101  0.         0.02663926]","[0.75025738 0.         0.         0.         0.         0.
 0.22040374 0.         0.02933887]","[0.86982681 0.         0.         0.         0.         0.
 0.09819146 0.         0.03198173]","[0.99042886 0.         0.         0.         0.         0.
 0.         0.         0.00957114]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05769324 0.         0.         0.         0.         0.
 0.92828546 0.         0.01402131]","[0.         0.         0.         0.         0.12777472 0.03906905
 0.37417731 0.45592305 0.00305587]"
1998-09-30,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.50577216e-01 3.45384981e-02 1.62889228e-01 6.51491171e-01
 5.03886824e-04]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.50577216e-01 3.45384981e-02 1.62889228e-01 6.51491171e-01
 5.03886824e-04]","[0.01756956 0.         0.         0.         0.         0.
 0.53850538 0.44392507 0.        ]","[0.15520547 0.         0.         0.         0.         0.
 0.48854575 0.35624877 0.        ]","[0.27844082 0.         0.         0.         0.         0.
 0.39383952 0.32771966 0.        ]","[0.38283343 0.         0.         0.         0.         0.
 0.35656738 0.26059919 0.        ]","[0.49079571 0.         0.         0.         0.         0.
 0.27608163 0.23312265 0.        ]","[0.58785586 0.         0.         0.         0.         0.
 0.2415915  0.17055263 0.        ]","[0.68312374 0.         0.         0.         0.         0.
 0.20757027 0.10930599 0.        ]","[0.77708701 0.         0.         0.         0.         0.
 0.17423966 0.04867333 0.        ]","[8.72872526e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.26533055e-01 5.94418057e-04
 0.00000000e+00]","[0.97890283 0.         0.         0.         0.         0.
 0.01953849 0.00155868 0.        ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.53274481 0.46725519 0.        ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.50577216e-01 3.45384981e-02 1.62889228e-01 6.51491171e-01
 5.03886824e-04]"
1998-10-30,"[0.         0.         0.         0.         0.11965748 0.00462651
 0.2545215  0.62119451 0.        ]","[0.         0.         0.         0.         0.11965748 0.00462651
 0.2545215  0.62119451 0.        ]","[0.02501758 0.         0.         0.         0.         0.
 0.47968478 0.49529765 0.        ]","[0.17225077 0.         0.         0.         0.         0.
 0.36150357 0.46624565 0.        ]","[0.29354385 0.         0.         0.         0.         0.
 0.26415459 0.44230155 0.        ]","[0.405282   0.         0.         0.         0.         0.
 0.17447431 0.42024369 0.        ]","[0.51211536 0.         0.         0.         0.         0.
 0.08873025 0.39915439 0.        ]","[0.60992163 0.         0.         0.         0.         0.
 0.04990361 0.34017476 0.        ]","[0.70741504 0.         0.         0.         0.         0.
 0.         0.29258496 0.        ]","[0.79625477 0.         0.         0.         0.         0.
 0.         0.20374523 0.        ]","[0.88379194 0.         0.         0.         0.         0.
 0.         0.11620806 0.        ]","[0.970364 0.       0.       0.       0.       0.       0.       0.029636
 0.      ]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.00988526 0.         0.         0.         0.         0.
 0.491676   0.49843874 0.        ]","[0.         0.         0.         0.         0.11965748 0.00462651
 0.2545215  0.62119451 0.        ]"
