date,02pct,03pct,04pct,05pct,06pct,07pct,08pct,09pct,10pct,11pct,12pct,13pct,14pct,15pct,maxSharpe,minVariance
1998-01-30,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1998-02-27,"[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]","[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]","[0.04320223 0.         0.         0.         0.         0.
 0.86815432 0.01880525 0.06983821]","[0.22543432 0.         0.         0.         0.         0.
 0.63534291 0.         0.13922277]","[0.35812087 0.         0.         0.         0.         0.
 0.45211144 0.         0.18976769]","[0.4758533  0.         0.         0.         0.         0.
 0.28952799 0.         0.23461871]","[0.58653772 0.         0.         0.         0.         0.
 0.13667562 0.         0.27678666]","[0.7094472 0.        0.        0.        0.        0.        0.
 0.        0.2905528]","[0.91479788 0.         0.         0.         0.         0.
 0.         0.         0.08520212]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04259533 0.         0.         0.         0.         0.
 0.86720886 0.02055581 0.06964   ]","[0.         0.         0.         0.         0.07281691 0.03248896
 0.47639239 0.41830174 0.        ]"
1998-03-31,"[0.         0.         0.         0.         0.07650311 0.03390941
 0.46956765 0.42001983 0.        ]","[0.         0.         0.         0.         0.07650311 0.03390941
 0.46956765 0.42001983 0.        ]","[0.05122274 0.         0.         0.         0.         0.
 0.88376922 0.01035046 0.05465759]","[0.24114651 0.         0.         0.         0.         0.
 0.65856532 0.         0.10028817]","[0.37877473 0.         0.         0.         0.         0.
 0.48682042 0.         0.13440485]","[0.50084569 0.00132016 0.         0.         0.         0.
 0.33414289 0.         0.16369127]","[0.61507074 0.00380312 0.         0.         0.         0.
 0.19013854 0.         0.1909876 ]","[0.72526458 0.00611817 0.         0.         0.         0.
 0.0513283  0.         0.21728895]","[0.87892346 0.         0.         0.         0.         0.
 0.         0.         0.12107654]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06460422 0.         0.         0.         0.         0.
 0.87753667 0.         0.05785911]","[0.         0.         0.         0.         0.07650311 0.03390941
 0.46956765 0.42001983 0.        ]"
1998-04-30,"[0.         0.         0.         0.         0.07981693 0.03423798
 0.46310074 0.41774798 0.00509636]","[0.         0.         0.         0.         0.07981693 0.03423798
 0.46310074 0.41774798 0.00509636]","[0.05735005 0.         0.         0.         0.         0.
 0.88376663 0.01157537 0.04730796]","[0.25037256 0.         0.         0.         0.         0.
 0.67697712 0.         0.07265031]","[0.38962783 0.00419924 0.         0.         0.         0.
 0.51687034 0.         0.08930259]","[0.51311854 0.00875646 0.         0.         0.         0.
 0.37365758 0.         0.10446742]","[0.62956227 0.01287776 0.         0.         0.         0.
 0.23889099 0.         0.11866898]","[0.74176244 0.0169969  0.         0.         0.         0.
 0.10883455 0.         0.13240611]","[0.85935705 0.01723669 0.         0.         0.         0.
 0.         0.         0.12340625]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07448348 0.         0.         0.         0.         0.
 0.87609992 0.         0.0494166 ]","[0.         0.         0.         0.         0.07981693 0.03423798
 0.46310074 0.41774798 0.00509636]"
1998-05-29,"[0.         0.         0.         0.         0.0857879  0.03565214
 0.45763727 0.41972483 0.00119786]","[0.         0.         0.         0.         0.0857879  0.03565214
 0.45763727 0.41972483 0.00119786]","[0.06099303 0.         0.         0.         0.         0.
 0.85934788 0.03132661 0.04833248]","[0.24925617 0.00327409 0.         0.         0.         0.
 0.66941114 0.         0.07805859]","[0.38887148 0.01014976 0.         0.         0.         0.
 0.49915871 0.         0.10182005]","[0.51401699 0.01568492 0.         0.         0.         0.
 0.34854049 0.         0.1217576 ]","[0.63178902 0.02102819 0.         0.         0.         0.
 0.20659939 0.         0.1405834 ]","[0.74542929 0.02613132 0.         0.         0.         0.
 0.06974606 0.         0.15869334]","[0.8825791  0.01769743 0.         0.         0.         0.
 0.         0.         0.09972347]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.09373814 0.         0.         0.         0.         0.
 0.85207352 0.         0.05418834]","[0.         0.         0.         0.         0.0857879  0.03565214
 0.45763727 0.41972483 0.00119786]"
1998-06-30,"[0.         0.         0.         0.         0.08355515 0.03091808
 0.46034398 0.4251828  0.        ]","[0.         0.         0.         0.         0.08355515 0.03091808
 0.46034398 0.4251828  0.        ]","[0.06019279 0.         0.         0.         0.         0.
 0.84312626 0.04271656 0.0539644 ]","[0.24173924 0.         0.         0.         0.         0.
 0.66479804 0.         0.09346273]","[0.38202532 0.         0.         0.         0.         0.
 0.4941354  0.         0.12383928]","[0.50695563 0.         0.         0.         0.         0.
 0.34215588 0.         0.15088849]","[0.62456985 0.         0.         0.         0.         0.
 0.19901247 0.         0.17641768]","[0.73800726 0.         0.         0.         0.         0.
 0.06100657 0.         0.20098617]","[0.87635454 0.         0.         0.         0.         0.
 0.         0.         0.12364546]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.07924129 0.         0.         0.         0.         0.
 0.86242307 0.         0.05833564]","[0.         0.         0.         0.         0.08355515 0.03091808
 0.46034398 0.4251828  0.        ]"
1998-07-31,"[0.         0.         0.         0.         0.08205879 0.02634943
 0.46319321 0.42757448 0.00082409]","[0.         0.         0.         0.         0.08205879 0.02634943
 0.46319321 0.42757448 0.00082409]","[0.07526436 0.         0.         0.         0.         0.
 0.81996514 0.05791898 0.04685152]","[0.25007769 0.         0.         0.         0.         0.
 0.67643564 0.         0.07348667]","[0.39124842 0.         0.         0.         0.         0.
 0.51408332 0.         0.09466827]","[0.51749496 0.         0.         0.         0.         0.
 0.36888893 0.         0.1136161 ]","[0.63658497 0.         0.         0.         0.         0.
 0.23193104 0.         0.13148399]","[0.75152818 0.         0.         0.         0.         0.
 0.0996861  0.         0.14878572]","[0.87309778 0.         0.         0.         0.         0.
 0.         0.         0.12690222]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.10188223 0.         0.         0.         0.         0.
 0.84681416 0.         0.05130361]","[0.         0.         0.         0.         0.08205879 0.02634943
 0.46319321 0.42757448 0.00082409]"
1998-08-31,"[0.         0.         0.         0.         0.08859396 0.01839359
 0.46174651 0.43126594 0.        ]","[0.         0.         0.         0.         0.08859396 0.01839359
 0.46174651 0.43126594 0.        ]","[0.0803369  0.         0.         0.         0.         0.
 0.84479178 0.05971527 0.01515604]","[0.25919876 0.         0.         0.         0.         0.
 0.7275446  0.         0.01325664]","[0.40404235 0.         0.         0.         0.         0.
 0.58489935 0.         0.0110583 ]","[0.53351053 0.         0.         0.         0.         0.
 0.45739673 0.         0.00909274]","[0.65631415 0.         0.         0.         0.         0.
 0.34230533 0.         0.00138052]","[7.74029565e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.25246792e-01 0.00000000e+00
 7.23643616e-04]","[8.88981272e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.10578349e-01 0.00000000e+00
 4.40379629e-04]",[1. 0. 0. 0. 0. 0. 0. 0. 0.],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.10619622 0.         0.         0.         0.         0.
 0.87368558 0.00461128 0.01550692]","[0.         0.         0.         0.         0.08859396 0.01839359
 0.46174651 0.43126594 0.        ]"
1998-09-30,"[0.         0.         0.         0.         0.06984994 0.
 0.31247747 0.6176726  0.        ]","[0.         0.         0.         0.         0.06984994 0.
 0.31247747 0.6176726  0.        ]","[0.0657383  0.         0.         0.         0.         0.
 0.47934978 0.45491192 0.        ]","[0.19449154 0.         0.         0.         0.         0.
 0.51024087 0.2952676  0.        ]","[0.29707412 0.         0.         0.         0.         0.
 0.53479836 0.16812752 0.        ]","[0.39067256 0.         0.         0.         0.         0.
 0.55720592 0.05212152 0.        ]","[0.49187967 0.         0.         0.         0.         0.
 0.50812033 0.         0.        ]","[0.59794048 0.         0.         0.         0.         0.
 0.40205952 0.         0.        ]","[0.69969495 0.         0.         0.         0.         0.
 0.30030505 0.         0.        ]","[0.79863452 0.         0.         0.         0.         0.
 0.20136548 0.         0.        ]","[0.89561104 0.         0.         0.         0.         0.
 0.10438896 0.         0.        ]","[0.99115518 0.         0.         0.         0.         0.
 0.00884482 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.04729139 0.         0.         0.         0.         0.
 0.47499102 0.47771759 0.        ]","[0.         0.         0.         0.         0.06984994 0.
 0.31247747 0.6176726  0.        ]"
1998-10-30,"[0.         0.         0.         0.         0.04255566 0.
 0.34927286 0.60817148 0.        ]","[0.         0.         0.         0.         0.04255566 0.
 0.34927286 0.60817148 0.        ]","[0.06651421 0.         0.         0.         0.         0.
 0.44786899 0.4856168  0.        ]","[0.2022612  0.         0.         0.         0.         0.
 0.44341389 0.35432491 0.        ]","[0.30942432 0.         0.         0.         0.         0.
 0.43989069 0.25068499 0.        ]","[0.41163766 0.         0.         0.         0.         0.
 0.40046278 0.18789956 0.        ]","[0.49969983 0.         0.         0.         0.         0.
 0.43364151 0.06665866 0.        ]","[0.5939935  0.         0.         0.         0.         0.
 0.39708828 0.00891821 0.        ]","[0.69251192 0.         0.         0.         0.         0.
 0.30748808 0.         0.        ]","[0.78955819 0.         0.         0.         0.         0.
 0.21044181 0.         0.        ]","[0.88466528 0.         0.         0.         0.         0.
 0.11533472 0.         0.        ]","[0.97835801 0.         0.         0.         0.         0.
 0.02164199 0.         0.        ]",[1 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0],"[0.06185836 0.         0.         0.         0.         0.
 0.44795297 0.49018867 0.        ]","[0.         0.         0.         0.         0.04255566 0.
 0.34927286 0.60817148 0.        ]"
